MEETING_ROOM,n
ew bookse,1
ew calligraphy room,2
ew conference room 2,4
ew east executive dr,1
ew east re,22
ew east reception,5
ew east reception ro,2
ew east ro,4
ew east room,4
ew ebr,10
ew err,2
ew err and,2
ew exr,69
ew front desk,5
ew holiday,77
ew kennedy garden,10
ew lobby,3
ew lower exec,8
ew milaide,2
ew movie t,1
ew multiple location,2
ew reception room,1
ew res,197
ew residence,203
ew rm 12,1
ew rm 2-5,6
ew rm 208,7
ew rm 216,1
ew room 2,1
ew room 208,11
ew room 216,10
ew room 221,1
ew south lawn,45
ew state,57
ew state d,1
ew state f,32
ew state floor,32
ew state floor / sou,5
ew tour,153032
ew vo,7
ew whmo hq,6
ew whvo #1,7
ew ww,3
ew ww res,2
ew/ res,25
ew/125,1
ew/206,1
ew/216,6
ew/exec-res,4
ew/penn av,6
ew/res,1
ew/ww,3
ew/ww 223,3
ew/ww/223,2
ew/ww223,2
ew: callig,1
ew: east r,44
ew: state,4
ew: vermei,1
ew@06,7
ew102,7
ew106,60
ew206,4272
ew2067,166
ew208,4
ew2106,23
ew216,452
ew223,36
ew223 and,2
ews,17
ews 15,1
ex-res,519
exec,9
exec-res,4
executive,40
executive dining roo,1
executive resdience,1
executive residence,104
exr,3
exr-state,3
exr and gr,12
exr finance office,4
exr room ug-18 nps g,2
exr ushers,1
finance office,3
first division park,5
first floo,6
first floor,1200
first floor / tent,525
first floor + tent,120
first floor and base,60
first floor and kitc,13
first floor and outs,5
first floor and pool,158
first floor and thir,1
first floor library,4
first floor/basement,2
first floor/pool dec,22
fishbowl,38
fist floor,5
floor 2 op,2
floral shop residenc,1
foyer,1
front lawn,59
full residence,1
g-72,2
g-74,2
g-74 ww,1
g102,23
g102 medic,1
g37,11
g40,3
g47,17
g50,3
g59,10
g59 ww,17
g66,5
g74,24
gcr,8
gift shop,5
gift store,2
gilliss ave.,12
gilliss ave/p1,1
ground and state flo,13
ground flo,3
ground floor,1
grounds,2
grounds an,3
grounds of,3
gww37,2
gym attic,1
holiday tent,21
housekeepi,2
housekeeping,3
hrd 3rd fl,1
iap,2
ike's eatery,1
ikes,23
ikes cafe,1
ikes eate,5
ikes eater,4
ikes eatery & neob c,1
ikes table,1
ikes tables,1
ilc eatery,1
indian tre,106
indian treaty,2
indian treaty room,1040
ironsides room,3
it office,1
itr,276
itr 474,11
itr indian treaty ro,21
jackson 71,1
jackson pl,11
jackson place,7
jackson place 712,7
jackson place 734 co,2
jake sullivan's offi,3
jbab-vo,1
jfk,7
jp,34
jp-926,2
jp - 730 1st floor c,1
jp 10012,3
jp 104,2
jp 1st floor confere,2
jp 226,1
jp 236,1
jp 3rd floor,9
jp 708,1
jp 712,3
jp 716,247
jp 718,2
jp 722,2
jp 730,13
jp 730 3rd floor,1
jp 734,16
jp 734 1st floor con,4
jp 734 2nd floor con,3
jp 734 3rd floor,2
jp 734 second floor,10
jp 736,30
jp 736 fir,6
jp 7th floor,10
jp ceq conference ro,1
jp has 736,1
jp townhouse room 10,6
jp103,9
jp104,4
jp712,40
jp716,24
jp716 103,1
jp716 rm10,3
jp722,1
jp730,102
jp730 1st floor conf,5
jp730 first floor,2
jp730 first floor co,5
jp734,80
jp736,13
jp736 firs,2
kitchen and first fl,10
lafayette,2
laundry housekeeping,1
lawn,165
library,3
loading do,5
loading dock,10
loading zone,2
lobby,10
lobby foyer,2
lower east,3
lower east executive,1
lower pres,8
lower press,19
lower press press br,2
lower suite,4
main gate,4
main kitch,1
main kitchen,9
main kitchen exr,5
main kitchen residen,1
map room,3
mc,1
mds office,1
mechanical rooms,3
med unit 9,1
medical,4
medical cl,10
medical clinic,2
medical of,3
medical un,2
medical unit,1
medunit 97,1
medunit th,1
movie thea,1
n court,5
n. court,2
n/a,3
n/a general architec,3
navy mess,50
navy mess ww,1
navy side and post 7,4
navy steps,7
nea interview appoin,1
neob 3015,7
neob b208,2
neob cafe,1
neob cafet,3
neob clini,6
neob clinic,1
neob garage,3
neob jp 103,5
neob jp 730 1st flo,3
neob jp 730 1st floo,3
neob jp 730 jackson,3
neob loadi,2
