Caller Last Name,n
DEAN,36
DEARMOND,5
DEFOREST,249
DELCOCO,10
DEMERS,4
DEMING,873
DENARO,54
DENNIS,7
DENNISON,76
DESCH,196
DICKSON,134
DIEN,459
DIETRICH,778
DINSMORE,29
DIRKSEN,896
DOIRON,97
DONATELLI,3
DONILON,724
DORNBUSH,199
DORSEY,28
DORTCH,1
DOUGLAS,2
DOXTATER,31
DRISCOLL,49
DROEGE,23
DUARTE,9
DUBIN,2
DUBLIN,7
DUNCAN,203
DURAN,502
EDGERTON,530
EGER-ADGENT,3
EISEMANN,431
ENG,69
EPPERSON,54
EPSTEIN,30
ERICKSON,19
ESTRADA,47
EVANS,3
EVERETTE,42
FABINA,41
FAMA,5
FANNING,8
FASANO,1030
FEAGANS,35
FELDMAN,42
FELDMANN,26
FICHTER,10
FIGUEROA,367
FINKELSTEIN,277
FINNEGAN,5
FINNEY,390
FISCHIETTO,31
FITZGERALD,29
FITZPATRICK,56
FLEMING,6
FLETCHER,13
FLEURENCE,3
FOKSINSKI,8
FONTANEZ,25
FORNI,2
FORRESTER,49
FOWLER,1
FRANCO,3
FRANKLIN,20
FREDELL,95
FREELAND,4
FREEMAN,5
FRICCHIONE,8
FROMSTEIN,82
FUKA,2
FULDAUER,18
FUNK,10
GAINES,44
GAINEY,61
GALVIN,40
GANDY,1
GAO,7
GARCIA,16
GARNER,214
GARUFI,2
GELFOND,468
GENDRON,42
GENSMER,312
GERWIN,163
GEYER,40
GHAFFARIAN,2
GIAMMARELLA,27
GILMORE,5
GILTNER,25
GINGRICH,296
GINS,140
GLISSON,1
GODDARD,484
GOHLKE,9
GOLDENSOHN,50
GOLDSTEIN,64
GONSALVES,2
GONZALEZ,1657
GOOD,161
GOODHUE,812
GRAY,15
GREBIN,1
GRECO,23
GREENSPAN,345
GRIFFIN,126
GRISHAM,14
GROSSNICKLAUS,40
GROUM,771
GROVE,436
GUY,1
HA,834
HALL,72
HALLISEY,35
HALTON,18
HAMLETT,26
HAMMERSCHMIDT,43
HANEY,4
HANSEN,176
HARLEY,185
HARNLY,68
HARRINGTON,2
HARRIS,131
HART,904
HARVEY,253
HATCHER,8
HAUGH,174
HAYASHI-SMITH,14
HAYES,5
HECTOR-BRUDER,26
HENAGAN,40
HENDERSON,30
HENNESSEY,32
HENRY,98
HEPLER,7
HICKEY,14
HILL,58
HIMESMULL,1
HINES,15
HO,40
HOCHMAN,450
HOEF,19
HOLBROOK,2
HOOKS,63
HOOVER,1
HORN,476
HORNCASTLE,1071
HORTON,146
HOURANI,179
HOWAYECK,16
HUDGINS,15
HUGHES,126
HUNT,58
INFURCHIA,18
ISEN,1482
JACKSON,4
JACOB,168
JAEGER,2
JAMES,246
JAMISON,9
JENKINS,45
JERMSTAD,4
JOHNSON,8129
JOHNSTON,28
JONES,26526
JOSEPH,1039
JOYCE,1219
JUAREZ,506
KALBAUGH,2
kalina,21
KATZ,1
KEATING,2
KEEFFE,4
KELLER,7
KELSEY,26
KENDALL,30
KERN,114
KERRIGAN,89
KHAN,1849
KIENTZLE,949
KIKUKAWA,13
KIM,112
KING JR.,3
KLETZIEN,38
KNIGHT,2171
KOLAKOWSKI,150
KRAKOWIAK,34
KRUPKIN,184
KUCK,4
KUSESKI,10
KWAK,170
LABITZKY,42
LAMB,65
LAMBERT,1
LAMM,5
LANG,601
LANGNER,15
LAPP,1
LARANCE,654
LARSEN,28
LATINIS,21
LAWS,7
LEACH,1
LEBOWITZ,5
LEE,28068
LEIGHTON,5
LEISERSON,583
LEMIEUX,2
LEON,14
LEVY,79
LEWIS,73
LI,357
LIGHTFOOT,13
LILAC,29
LILJENWALL,132
LILLIS,2
LIN,41
LINDBLAD,7
LINDENZWEIG,4
LINDER,13
LINDSEY,38
LITTLE,209
LIU,180
LOCKE,116
LONGLEY,16
LOPEZ,36
LOWDEN,13
LOWE,41
LOZANO,1
LUCAS,2
LUNDEGREN,21
MACKLIN,1174
MADDOX,112
MADSEN,4
MAJUMDER,89
MALEY,15
MAO,63
MARCONI,2700
MARKHAM,3
MARTIN,18
MARTINEZ,7
MATHES,266
MAUSS,19
MAY,125
MAZZEO,12
MCBEAN,22
MCCALL,44
MCCARRON,4
MCCARTHY,187
MCCORMICK,69
MCCRARY,41
MCCUBBIN,8
MCDONALD,41
MCFALL,707
MCGLOIN,26
MCINTEE,413
MCINTOSH,11
MCKAY,23
MCKINNEY,6
MCLAURIN,770
MCMILLAN,22
MCMULLAN,28
MCNAIR,1
MCQUEEN,9
MCTEAR,90
MCWILLIAMS,22
MEDINA,4
MEGNA,59
MELLUL,15
MELOSKI,486
MENSAH,13
MENZELOS,145
MICALLEF,3
MICHEL,177
MIELKE,286
MILLER,2317
MILLIKEN,17
MILLONES,738
MILLS,4162
MIRELESBEUZE,209
MIRETTI,5
MITCHELL,123
MITTELSTAEDT,133
MOLINA,197
MONTOYA,8
MOON,49
MOORE,6
MORGAN,630
MORI,4
MORITSUGU,48
MORRIS,43
MORRISON,238
MUGGELBERG,1
MULUGHETA,29
MURPHY,56
MURRAY,75
"NADEEM",678
"NAPUE",63
"NARANJO",44
"NARAYANAN",49
"NAULIN",8
NEE,17
NELSON,1198
NEWMAN,1
NEWMANROGERS,10
NEWTON,706
NEYMAN,255
NGUYEN,1
NIGHTENGALE,101
NOBLE,61
NOLAN,4
NORDMAN,8
NURNBERG,28
NURTHEN,1
OFFICE,22
OGAN,28
OKANE,81
ONEAL,1
ORTEGA,493
ORTIZ,442
OSBURN,1
OSTAZESKI,4
OSTERMILLER,4
OU,132
OUTMAN,6
OWENS,3
PACHECOORTIZ,14
PACKER,172
PAGE,874
PAJE,3
PALERMO,91
PALMER,184
PANGELINAN,19
PANIGRAHI,480
PAPERMASTER,11
PARENT,21
PARRA,209
PARSONS,947
PASKA,1
PASQUANTINO,16
PASTORE,83
PATCHIN,870
PATE,20
PATHAK,222
PAULS,1
PAUWELS,55
PEDERSEN,11
PEELE,3
PEREZ,108
PERRY,52
PHONHARATH,653
PICKERING,231
PIENIK,7
PISHA,14
PLAT,1065
PO,34
POWELL,200
PRATT,481
PRINCETON,23
PRINE,4
PRINT,576
PROVET,461
PRUDE,2
PURCELL,33
PURI,39
PURTELL,9
QU,114
QURESHI,914
RABUCK,17
RAGER,161
RAIZK,27
RAJGOPAL,29
RAJWANSHI,400
RAMASSINI,1
RAMOUTAR,8
RANDALL,18
RASTEGAR,853
RATHBUN,1
RAUCH,5
RAULT,142
RAY,4
REALS,5
RECORDON,14
REDALVARADO,5
REDDY,98
REDMOND,74
REED,158
REILLY,1033
REPOSA,190
RHODES,1
RICCHETTI,148
RICH,16
RICHARDS,101
RICKS,11
RINKEVICH,5
RIOS-RODRIGUEZ,1
RIVERO,33
ROBERSON,72
ROBERTS,40
ROBINSON,21
RODRIGUEZ,164
ROSENBERG,50
ROSENZWEIG,8
ROZO,856
RYNER,9
SABA,311
SACKETT,372
SACKS,219
SAENZ,1
SALDIVAR,287
SALVATERA,7
SANCHEZ,505
SANCHEZ GARCIA,132
SANDERS,1
SANDERSON,27
SANDS,1
SANTANA,156
SANTIAGO-MORENO,26
SASS,88
SATKOWIAK,113
SAWYER,18
SCATLIFFE,5
SCHAEFER,125
SCHECHTER,181
SCHILDROTH,265
SCHMALL,10
SCHMITT,17
SCHONAU,3
SCHULTZ,10
SCHWARTZ,19364
SCHWEMLE,37
SERRANO,1
SHAMBERGER,9
SHANNON-ESTEP,15
SHARFMAN,51
SHAUL,477
SHAW,39
SHEA,216
SHELBY,210
SHEONATH,6
SHIMER,281
SHULL,483
SIDOR,11
SIEGEL,293
SILLS,12
SILVA,1631
SIMMONS,11
SINGH,132
SIVINSKI,38
SKINNER,4
SLATER,3
SMITH,467
SNEAD,2
SOLOMON,11
SOMANI,36
SOPKO,400
SPICER,508
SPIGNER,17
SPREYER,2
SRIVASTAVA,380
STALCUP,23
STANLEY,4
STANWICH,178
STEELE,30
STEFONEK,27
STERLING,14
STETSON,10
STEWART,755
STIEGLER,5
STIRES,9
STONICK,86
STRASSER,294
STRAUSS,221
STUBBS,8
SUAREZ,3
SUH,39
SULLIVAN,95
SUNDARAM,121
SWAN,3
SWANER,65
SWARENS,3
SWEENEY,69
SWITCH,83
SZESTAK,1
SZYMANSKI,310
TABER,19
TAM,1520
TAPETILLO,234
TATEL,5
TAYLOR,1304
TEAGUE,2
TEDERICK,15
TEITELBAUM,83
TELEKY,6889
TESHOME,17
TESSIER,7
THOMPSON,306
THOMSON,3
TIBAYAN,55
TIDWELL,2
TILLETT,40
TILLSON,206
TOLEDO,24
TOMASZEWSKI,3
TOVES,15
TRADER,2
TRAMMELLE,1
TRAN,42
TROCOLA,5938
TUCKER,1
TUDOSE,8
TURNER,28
TYEHIMBA-RUFAI,193
TYREE,1
TYRRELL,59
UBEROI,55
UBINAS,91
UNPINGCO,256
VAINGANKAR,66
VALDES-RECIO,132
VALDEZ,4
VALDIVIA,3
VALENCIA,1
VALLEJO,4226
VANDENBERG,5
VANKEUREN,36
VARGAS,614
VARTANIAN,24
VELA,66
VELZ,73
VENSON,88
VIA,4848
VIVIRITO,48
VOLIN,149
WADDY,57
WAGMAN,34
WALDMAN,92
WALDOW,97
WALKER,36
WALL,10
WALLACE,53
WARDRICK,57
WATLEY,1
WATSON,2
WAVES,140218
WEAVER,11
WEBB,39
WEBSTER,134
WEISTER,5
WELCH,356
WELLS,15
WENGER,56
WESSEL,425
WEST,26
WESTLING,1
WESTON,25
WEXLER,20
WHITE,150
WIEGERT,1
WILKERSON JR.,1
WILLIAMS,137
WILSON,68
WINSLOW,77
WITHERS,63
WOOD,449
WOODBERRY,437
WOODS,44
WOOLFOLK,44
WRIGHT,19
WRIGHT-HASHIM,10
WW,24826
WYNNE,18
YALLOWITZ,18
YARBER,13
YAU,1
YOST,5
YUPARI,2
ZEIGLER,26
ZIMSKIND,576
ZIRULNICK,29
ZUNKER,184
