BDGNBR,n
182641,12
182642,14
182650,9
182653,1
182654,7
182655,2
182656,43
182657,10
182658,1
182659,4
182660,10
182661,10
182662,8
182663,9
182664,2
182685,7
182686,2
182689,11
182691,19
182693,13
182699,28
182700,18
182701,34
182702,40
182703,26
182704,39
182705,31
182706,18
182707,13
182708,19
182709,26
182710,11
182712,11
182725,4
182732,34
182733,10
182734,8
182819,3
182848,6
182849,20
182850,11
182861,14
182862,13
182880,6
182881,14
182883,9
182884,18
182886,12
182892,16
182908,5
182918,33
182975,29
182976,26
182978,11
182979,18
182980,17
182984,18
182991,29
183005,16
183008,8
183009,21
183010,30
183013,29
183014,47
183017,34
183018,20
183019,22
183020,17
183021,26
183027,9
183028,35
183029,25
183030,25
183031,14
183032,22
183033,19
183034,40
183040,17
183041,15
183042,17
183043,22
183044,40
183045,36
183046,35
183047,44
183048,18
183049,41
183050,24
183053,25
183054,18
183055,30
183061,6
183063,7
183065,14
183066,19
183069,17
183070,2
183071,8
183072,27
183073,32
183074,16
183075,3
183077,2
183078,1
183079,2
183080,24
183085,37
183087,2
183088,32
183089,43
183090,49
183091,29
183092,33
183093,7
183094,29
183095,20
183096,27
183098,31
183099,5
183100,20
183101,32
183102,15
183103,5
183104,25
183105,3
183107,16
183109,42
183110,30
183111,25
183112,41
183113,5
183114,41
183115,41
183116,24
183117,21
183119,40
183120,44
183121,33
183122,27
183123,27
183124,24
183125,32
183126,37
183127,33
183128,33
183129,28
183130,34
183131,24
183132,36
183133,29
183134,26
183135,33
183136,29
183137,49
183138,45
183139,23
183147,1
183150,6
183151,7
183156,13
183173,5
183174,6
183175,26
183205,24
183209,4
183211,7
183212,4
183214,19
183217,17
183220,1
183221,6
183223,25
183224,12
183230,22
183239,22
183240,23
183243,12
183252,14
183268,26
183270,7
183272,32
183273,26
183274,16
183280,1
183281,11
183282,18
183292,11
183299,26
183302,22
183303,24
183304,21
183307,21
183359,9
183360,3
183367,19
183373,3
183374,6
183375,1
183379,20
183385,5
183386,37
183398,17
183403,4
183404,19
183405,7
183406,3
183438,5
183463,11
183468,1
183472,6
183473,17
183499,4
183503,4
183513,3
183531,8
183532,2
183540,3
