APPT_END_DATE,n
2021-08-08 11:59:00,16
2021-08-09 11:59:00,44
2021-08-09 23:59:00,9
2021-08-10 11:59:00,61
2021-08-10 23:59:00,9
2021-08-11 11:59:00,68
2021-08-11 23:59:00,56
2021-08-12 11:59:00,142
2021-08-12 23:59:00,2
2021-08-13 11:59:00,75
2021-08-13 23:59:00,2
2021-08-15 11:59:00,2
2021-08-16 11:59:00,28
2021-08-16 23:59:00,2
2021-08-17 11:59:00,97
2021-08-17 23:59:00,3
2021-08-18 11:59:00,117
2021-08-18 23:59:00,4
2021-08-19 11:59:00,47
2021-08-19 23:59:00,3
2021-08-20 11:59:00,74
2021-08-21 11:59:00,2
2021-08-22 11:59:00,9
2021-08-23 11:59:00,124
2021-08-23 23:59:00,4
2021-08-24 11:59:00,59
2021-08-25 11:59:00,184
2021-08-25 23:59:00,2
2021-08-26 11:59:00,60
2021-08-27 11:59:00,127
2021-08-27 23:59:00,1
2021-08-28 11:59:00,6
2021-08-29 11:59:00,4
2021-08-30 11:59:00,37
2021-08-31 23:59:00,1
2021-09-01 11:59:00,92
2021-09-01 23:59:00,3
2021-09-02 11:59:00,73
2021-09-02 23:59:00,4
2021-09-03 11:59:00,57
2021-09-03 23:59:00,1
2021-09-04 11:59:00,3
2021-09-05 11:59:00,1
2021-09-06 11:59:00,7
2021-09-07 11:59:00,28
2021-09-07 23:59:00,1
2021-09-08 11:59:00,172
2021-09-08 23:59:00,1
2021-09-09 04:00:00,1
2021-09-09 11:59:00,140
2021-09-09 23:59:00,1
2021-09-10 11:59:00,54
2021-09-10 23:59:00,2
2021-09-11 11:59:00,2
2021-09-13 11:59:00,60
2021-09-14 11:59:00,110
2021-09-14 23:59:00,1
2021-09-15 11:59:00,88
2021-09-15 23:59:00,2
2021-09-16 11:59:00,69
2021-09-17 11:59:00,94
2021-09-17 23:59:00,2
2021-09-18 11:59:00,1
2021-09-19 11:59:00,2
2021-09-20 11:59:00,92
2021-09-20 23:59:00,165
2021-09-21 11:59:00,164
2021-09-21 23:59:00,5
2021-09-22 11:59:00,228
2021-09-22 23:59:00,2
2021-09-23 11:59:00,156
2021-09-23 23:59:00,5
2021-09-24 11:59:00,284
2021-09-25 11:59:00,24
2021-09-26 11:59:00,6
2021-09-27 11:59:00,79
2021-09-27 23:59:00,124
2021-09-28 11:59:00,148
2021-09-28 23:59:00,3
2021-09-29 11:59:00,93
2021-09-29 23:59:00,1
2021-09-30 23:59:00,7
2021-10-01 11:59:00,107
2021-10-01 23:59:00,2
2021-10-04 11:59:00,81
2021-10-04 23:59:00,11
2021-10-05 11:59:00,211
2021-10-05 23:59:00,7
2021-10-06 11:59:00,128
2021-10-06 23:59:00,9
2021-10-07 11:59:00,118
2021-10-07 23:59:00,8
2021-10-08 11:59:00,200
2021-10-09 11:59:00,5
2021-10-10 11:59:00,6
2021-10-11 11:59:00,5
2021-10-12 11:59:00,119
2021-10-12 23:59:00,2
2021-10-13 11:59:00,157
2021-10-13 23:59:00,5
2021-10-14 11:59:00,146
2021-10-14 23:59:00,4
2021-10-15 11:59:00,97
2021-10-15 23:59:00,2
2021-10-17 11:59:00,1
2021-10-18 11:59:00,232
2021-10-18 23:59:00,20
2021-10-19 11:59:00,130
2021-10-19 23:59:00,4
2021-10-20 11:59:00,120
2021-10-20 23:59:00,2
2021-10-21 11:59:00,140
2021-10-21 23:59:00,1
2021-10-22 11:59:00,133
2021-10-22 23:59:00,29
2021-10-23 11:59:00,8
2021-10-24 11:59:00,4
2021-10-25 11:59:00,99
2021-10-25 23:59:00,2
2021-10-26 11:59:00,112
2021-10-26 23:59:00,4
2021-10-27 11:59:00,123
2021-10-27 23:59:00,7
2021-10-28 11:59:00,129
2021-10-29 11:59:00,103
2021-10-30 11:59:00,19
2021-11-01 11:59:00,41
2021-11-01 23:59:00,2
2021-11-02 11:59:00,130
2021-11-02 23:59:00,3
2021-11-03 11:59:00,189
2021-11-03 23:59:00,2
2021-11-04 11:59:00,225
2021-11-04 23:59:00,6
2021-11-05 11:59:00,81
2021-11-05 23:59:00,2
2021-11-06 11:59:00,3
2021-11-07 11:59:00,6
2021-11-08 11:59:00,301
2021-11-08 23:59:00,4
2021-11-09 11:59:00,184
2021-11-09 23:59:00,2
2021-11-10 11:59:00,267
2021-11-10 23:59:00,8
2021-11-11 11:59:00,116
2021-11-11 23:59:00,1
2021-11-12 11:59:00,49
2021-11-12 23:59:00,7
2021-11-13 11:59:00,2
2021-11-14 11:59:00,10
2021-11-15 11:59:00,1081
2021-11-15 23:59:00,15
2021-11-16 11:59:00,156
2021-11-16 23:59:00,3
2021-11-17 11:59:00,226
2021-11-17 23:59:00,3
2021-11-18 11:59:00,414
2021-11-18 23:59:00,4
2021-11-19 11:59:00,308
2021-11-19 23:59:00,5
2021-11-20 11:59:00,7
2021-11-20 23:59:00,3
2021-11-21 11:59:00,2
2021-11-21 23:59:00,3
2021-11-22 11:59:00,189
2021-11-22 23:59:00,9
2021-11-23 11:59:00,109
2021-11-24 06:00:00,18
2021-11-24 11:59:00,56
2021-11-24 23:30:00,1
2021-11-24 23:59:00,13
2021-11-25 11:59:00,6
2021-11-25 23:30:00,1
2021-11-26 11:59:00,16
2021-11-27 11:59:00,9
2021-11-28 11:59:00,4
2021-11-29 11:59:00,261
2021-11-29 23:59:00,25
2021-11-30 23:59:00,15
2021-12-01 11:59:00,431
2021-12-01 23:59:00,10
2021-12-02 11:59:00,273
2021-12-03 11:59:00,180
2021-12-03 23:59:00,8
2021-12-04 11:59:00,3
2021-12-04 23:59:00,3
2021-12-05 11:59:00,196
2021-12-05 23:59:00,1
2021-12-06 11:59:00,244
2021-12-06 23:59:00,1
2021-12-07 11:59:00,250
2021-12-08 11:59:00,232
2021-12-08 23:59:00,3
2021-12-09 11:59:00,220
2021-12-09 23:59:00,9
2021-12-10 11:59:00,156
2021-12-10 23:59:00,86
2021-12-11 11:59:00,18
2021-12-12 11:59:00,30
2021-12-13 11:59:00,213
2021-12-13 23:59:00,2
2021-12-14 11:59:00,281
2021-12-14 23:59:00,4
2021-12-15 11:59:00,1795
2021-12-15 23:59:00,4
2021-12-16 11:59:00,712
2021-12-16 23:59:00,3
2021-12-17 11:59:00,1947
2021-12-17 23:59:00,1
2021-12-18 11:59:00,2363
2021-12-19 11:59:00,2203
2021-12-20 11:59:00,893
2021-12-20 23:59:00,2
2021-12-21 11:59:00,719
2021-12-21 23:59:00,6
2021-12-22 11:59:00,937
2021-12-22 23:59:00,9
2021-12-23 11:59:00,964
2021-12-24 23:59:00,1
2021-12-25 11:59:00,3
2021-12-25 23:59:00,1
2021-12-26 11:59:00,1
2021-12-27 11:59:00,10
2021-12-28 11:59:00,21
2021-12-29 11:59:00,9
2021-12-29 23:59:00,2
2021-12-30 11:59:00,6
2021-12-31 23:30:00,59
2022-01-01 11:59:00,1
2022-01-02 11:59:00,4
2022-01-03 11:59:00,8
2022-01-04 11:59:00,20
2022-01-05 11:59:00,48
2022-01-05 23:59:00,15
2022-01-06 11:59:00,66
2022-01-07 11:59:00,23
2022-01-07 23:59:00,8
2022-01-09 11:59:00,1
2022-01-10 11:59:00,38
2022-01-10 23:59:00,5
2022-01-11 11:59:00,42
2022-01-11 23:59:00,1
2022-01-12 11:59:00,56
2022-01-12 23:59:00,1
2022-01-13 11:59:00,59
2022-01-13 23:59:00,5
2022-01-14 11:59:00,107
2022-01-14 23:59:00,3
2022-01-16 11:59:00,7
2022-01-17 11:59:00,4
2022-01-18 11:59:00,33
2022-01-18 23:59:00,1
2022-01-19 11:59:00,56
2022-01-19 23:59:00,2
2022-01-20 11:59:00,87
2022-01-20 23:59:00,3
2022-01-21 11:59:00,62
2022-01-21 23:59:00,2
2022-01-23 11:59:00,3
2022-01-24 11:59:00,44
2022-01-25 11:59:00,54
2022-01-26 11:59:00,68
2022-01-27 11:59:00,128
2022-01-28 11:59:00,72
2022-01-29 11:59:00,46
2022-01-30 11:59:00,1
2022-02-01 11:59:00,36
2022-02-02 11:59:00,185
2022-02-02 23:59:00,1
2022-02-03 11:59:00,77
2022-02-03 23:59:00,1
2022-02-04 11:59:00,70
2022-02-07 11:59:00,62
2022-02-07 23:59:00,4
2022-02-08 11:59:00,106
2022-02-08 23:59:00,1
2022-02-09 11:59:00,151
2022-02-09 23:59:00,1
2022-02-10 11:59:00,123
2022-02-11 11:59:00,67
2022-02-11 23:59:00,5
2022-02-12 11:59:00,2
2022-02-13 11:59:00,2
2022-02-14 11:59:00,134
2022-02-14 23:59:00,9
2022-02-15 11:59:00,71
2022-02-15 23:59:00,4
2022-02-16 11:59:00,142
2022-02-16 23:59:00,8
2022-02-17 11:59:00,286
2022-02-17 23:59:00,1
2022-02-18 11:59:00,74
2022-02-19 11:59:00,7
2022-02-20 11:59:00,3
2022-02-21 11:59:00,8
2022-02-21 23:59:00,3
2022-02-22 11:59:00,120
2022-02-22 23:59:00,6
2022-02-23 11:59:00,104
2022-02-23 23:59:00,3
2022-02-24 11:59:00,162
2022-02-24 23:59:00,7
2022-02-25 11:59:00,94
2022-02-25 23:59:00,3
2022-02-26 11:59:00,7
2022-02-27 11:59:00,4
2022-02-28 11:59:00,1
2022-03-01 11:59:00,121
2022-03-02 11:59:00,152
2022-03-02 23:59:00,4
2022-03-03 11:59:00,218
2022-03-03 23:59:00,3
2022-03-04 11:59:00,184
2022-03-04 23:59:00,1
2022-03-05 11:59:00,14
2022-03-06 11:59:00,5
2022-03-07 11:59:00,190
2022-03-07 23:59:00,2
2022-03-08 11:59:00,147
2022-03-09 11:59:00,162
2022-03-09 23:59:00,1
2022-03-10 11:59:00,166
2022-03-10 23:59:00,10
2022-03-11 11:59:00,127
2022-03-12 11:59:00,3
2022-03-13 11:59:00,27
2022-03-14 11:59:00,148
2022-03-14 23:59:00,2
2022-03-15 11:59:00,705
2022-03-15 23:59:00,2
2022-03-16 11:59:00,515
2022-03-16 23:59:00,5
2022-03-17 11:59:00,772
2022-03-17 23:59:00,26
2022-03-18 11:59:00,136
2022-03-18 23:59:00,1
2022-03-19 11:59:00,15
2022-03-20 11:59:00,18
2022-03-21 11:59:00,198
2022-03-22 11:59:00,255
2022-03-22 23:59:00,1
2022-03-23 11:59:00,171
2022-03-23 23:59:00,6
2022-03-24 11:59:00,207
2022-03-24 23:59:00,2
2022-03-25 11:59:00,173
2022-03-25 23:59:00,1
2022-03-26 11:59:00,11
2022-03-27 11:59:00,7
2022-03-28 11:59:00,177
2022-03-28 23:59:00,5
2022-03-29 11:59:00,458
2022-03-29 23:59:00,294
2022-03-30 11:59:00,200
2022-03-30 23:59:00,9
2022-03-31 23:59:00,6
2022-04-01 11:59:00,179
2022-04-01 23:59:00,1
2022-04-02 11:59:00,27
2022-04-03 11:59:00,10
2022-04-04 11:59:00,563
2022-04-05 11:59:00,567
2022-04-06 11:59:00,370
2022-04-06 23:59:00,1
2022-04-07 11:59:00,231
2022-04-08 11:59:00,867
2022-04-09 11:59:00,259
2022-04-10 11:59:00,258
2022-04-10 23:59:00,6
2022-04-11 11:59:00,343
2022-04-12 11:59:00,153
2022-04-12 23:59:00,3
2022-04-13 11:59:00,122
2022-04-13 23:59:00,4
2022-04-14 11:59:00,198
2022-04-14 23:59:00,3
2022-04-15 11:59:00,1173
2022-04-15 23:59:00,3
2022-04-16 11:59:00,1086
2022-04-17 11:59:00,65
2022-04-18 11:59:00,792
2022-04-18 23:59:00,1
2022-04-19 11:59:00,170
2022-04-19 23:59:00,4
2022-04-20 11:59:00,293
2022-04-20 23:59:00,2
2022-04-21 11:59:00,328
2022-04-21 23:59:00,7
2022-04-22 11:59:00,1190
2022-04-22 23:59:00,1
2022-04-23 11:59:00,929
2022-04-24 11:59:00,15
2022-04-25 11:59:00,464
2022-04-25 23:59:00,1
2022-04-26 11:59:00,359
2022-04-26 23:59:00,3
2022-04-27 11:59:00,640
2022-04-27 23:59:00,17
2022-04-28 11:59:00,543
2022-04-28 23:59:00,18
2022-04-29 11:59:00,1243
2022-04-29 23:59:00,6
2022-04-30 23:59:00,1
2022-05-01 23:59:00,11
2022-05-02 23:59:00,480
2022-05-03 23:59:00,495
2022-05-04 23:59:00,2820
2022-05-05 23:59:00,593
2022-05-06 23:59:00,1040
2022-05-07 23:59:00,1001
2022-05-08 23:59:00,19
2022-05-09 23:59:00,418
2022-05-10 23:59:00,422
2022-05-11 23:59:00,403
2022-05-12 23:59:00,1144
2022-05-13 23:59:00,1363
2022-05-14 23:59:00,1221
2022-05-15 23:59:00,5
2022-05-16 23:59:00,835
2022-05-17 23:59:00,624
2022-05-18 23:59:00,566
2022-05-19 23:59:00,516
2022-05-20 23:59:00,1250
2022-05-21 23:59:00,1051
2022-05-22 23:59:00,20
2022-05-23 23:59:00,176
2022-05-24 23:59:00,318
2022-05-25 23:59:00,472
2022-05-26 23:59:00,209
2022-05-27 23:59:00,1164
2022-05-28 23:59:00,1257
2022-05-29 23:59:00,9
2022-05-30 23:59:00,191
2022-05-31 23:59:00,6
2022-06-01 23:59:00,265
2022-06-02 23:59:00,221
2022-06-03 23:59:00,1225
2022-06-04 23:59:00,1012
2022-06-05 23:59:00,5
2022-06-06 23:59:00,252
2022-06-07 23:59:00,372
2022-06-08 23:59:00,271
2022-06-09 23:59:00,348
2022-06-10 23:59:00,1181
2022-06-11 23:59:00,999
2022-06-12 23:59:00,10
2022-06-13 23:59:00,470
2022-06-14 23:59:00,484
2022-06-15 23:59:00,808
2022-06-16 23:59:00,417
2022-06-17 23:59:00,1727
2022-06-18 23:59:00,1719
2022-06-19 23:59:00,5
2022-06-20 23:59:00,11
2022-06-21 23:59:00,326
2022-06-22 23:59:00,582
2022-06-23 23:59:00,558
2022-06-24 23:59:00,1443
2022-06-25 23:59:00,1405
2022-06-26 23:59:00,23
2022-06-27 23:59:00,191
2022-06-28 23:59:00,660
2022-06-29 23:59:00,406
2022-07-01 23:59:00,1245
2022-07-02 23:59:00,1489
2022-07-03 23:59:00,352
2022-07-04 23:59:00,6965
2022-07-05 23:59:00,492
2022-07-06 23:59:00,236
2022-07-07 23:59:00,595
2022-07-08 23:59:00,1367
2022-07-09 23:59:00,1364
2022-07-10 23:59:00,242
2022-07-11 23:59:00,2388
2022-07-12 23:59:00,2161
2022-07-13 23:59:00,826
2022-07-14 23:59:00,453
2022-07-15 23:59:00,1593
2022-07-16 23:59:00,1443
2022-07-17 23:59:00,293
2022-07-18 23:59:00,325
2022-07-19 23:59:00,1516
2022-07-20 23:59:00,1119
2022-07-21 23:59:00,2011
2022-07-22 23:59:00,1356
2022-07-23 23:59:00,1366
2022-07-24 23:59:00,279
2022-07-25 23:59:00,323
2022-07-26 23:59:00,1552
2022-07-27 23:59:00,1453
2022-07-28 23:59:00,1476
2022-07-29 23:59:00,2045
2022-07-30 23:59:00,1433
2022-07-31 23:59:00,2
2022-08-01 23:59:00,309
2022-08-02 23:59:00,1186
2022-08-03 23:59:00,1450
2022-08-04 23:59:00,1329
2022-08-05 23:59:00,1347
2022-08-06 23:59:00,1573
2022-08-07 23:59:00,282
2022-08-08 23:59:00,197
2022-08-09 23:59:00,1074
2022-08-10 23:59:00,760
2022-08-11 23:59:00,2163
2022-08-12 23:59:00,2184
2022-08-13 23:59:00,1360
2022-08-14 23:59:00,262
2022-08-15 23:59:00,202
2022-08-16 23:59:00,1398
2022-08-17 23:59:00,1293
2022-08-18 23:59:00,1329
2022-08-19 23:59:00,1203
2022-08-20 23:59:00,1563
2022-08-21 23:59:00,255
2022-08-22 23:59:00,222
2022-08-23 23:59:00,1309
2022-08-24 23:59:00,1204
2022-08-25 23:59:00,1248
2022-08-26 23:59:00,1263
2022-08-27 23:59:00,1235
2022-08-28 23:59:00,202
2022-08-29 23:59:00,328
2022-08-30 23:59:00,1297
2022-08-31 23:59:00,8
2022-09-01 23:59:00,1247
2022-09-02 23:59:00,1248
2022-09-03 23:59:00,1314
2022-09-04 23:59:00,256
2022-09-05 23:59:00,8
2022-09-06 23:59:00,1281
2022-09-07 23:59:00,546
2022-09-08 23:59:00,1220
2022-09-09 23:59:00,1137
2022-09-10 23:59:00,1380
2022-09-11 23:59:00,243
2022-09-12 23:59:00,401
2022-09-13 23:59:00,6295
2022-09-14 23:59:00,742
2022-09-15 23:59:00,1000
2022-09-16 23:59:00,1528
2022-09-17 23:59:00,1423
2022-09-18 23:59:00,254
2022-09-19 23:59:00,249
2022-09-20 23:59:00,1538
2022-09-21 23:59:00,1442
2022-09-22 23:59:00,1766
2022-09-23 23:59:00,2164
2022-09-24 23:59:00,2819
2022-09-25 23:59:00,260
2022-09-26 23:59:00,761
2022-09-27 23:59:00,1763
2022-09-28 23:59:00,828
2022-09-29 23:59:00,2093
2022-09-30 23:59:00,48
2022-10-01 23:59:00,1543
2022-10-02 23:59:00,220
2022-10-03 23:59:00,304
2022-10-04 23:59:00,1333
2022-10-05 23:59:00,1285
2022-10-06 23:59:00,1440
2022-10-07 23:59:00,1549
2022-10-08 23:59:00,577
2022-10-09 23:59:00,571
2022-10-10 23:59:00,35
2022-10-11 23:59:00,1520
2022-10-12 23:59:00,1476
2022-10-13 23:59:00,1571
2022-10-14 23:59:00,1718
2022-10-15 23:59:00,1524
2022-10-16 23:59:00,358
2022-10-17 23:59:00,264
2022-10-18 23:59:00,374
2022-10-19 23:59:00,2456
2022-10-20 23:59:00,1553
2022-10-21 23:59:00,1632
2022-10-22 23:59:00,1628
2022-10-23 23:59:00,349
2022-10-24 23:59:00,860
2022-10-25 23:59:00,1425
2022-10-26 23:59:00,1419
2022-10-27 23:59:00,1303
2022-10-28 23:59:00,1548
2022-10-29 23:59:00,1530
2022-10-30 23:59:00,355
2022-10-31 23:59:00,5557
2022-11-01 23:59:00,1455
2022-11-02 23:59:00,784
2022-11-03 23:59:00,2610
2022-11-04 23:59:00,1578
2022-11-05 23:59:00,1505
2022-11-06 23:59:00,349
2022-11-07 23:59:00,197
2022-11-08 23:59:00,1146
2022-11-09 23:59:00,1496
2022-11-10 23:59:00,1513
2022-11-11 23:59:00,211
2022-11-12 23:59:00,1695
2022-11-13 23:59:00,360
2022-11-14 23:59:00,1156
2022-11-15 23:59:00,2648
2022-11-16 23:59:00,1998
2022-11-17 23:59:00,435
2022-11-18 23:59:00,642
2022-11-19 23:59:00,132
2022-11-20 23:59:00,125
2022-11-21 23:59:00,836
2022-11-22 23:59:00,355
2022-11-23 23:59:00,258
2022-11-24 23:59:00,1
2022-11-25 23:59:00,111
2022-11-26 23:59:00,371
2022-11-27 23:59:00,312
2022-11-28 23:59:00,1239
2022-11-29 23:59:00,1204
2022-11-30 23:59:00,1207
2022-12-01 23:59:00,7117
2022-12-02 23:59:00,1041
2022-12-03 23:59:00,6990
2022-12-04 23:59:00,442
2022-12-05 23:59:00,1492
2022-12-06 23:59:00,3281
2022-12-07 23:59:00,3659
2022-12-08 23:59:00,1440
2022-12-09 23:59:00,3592
2022-12-10 23:59:00,1903
2022-12-11 23:59:00,5516
2022-12-12 23:59:00,2091
2022-12-13 23:59:00,7638
2022-12-14 23:59:00,1058
2022-12-15 23:59:00,1393
2022-12-16 23:59:00,5255
2022-12-17 23:59:00,6421
2022-12-18 23:59:00,6801
2022-12-19 23:59:00,4986
2022-12-20 23:59:00,958
2022-12-21 23:59:00,1478
2022-12-22 23:59:00,1312
2022-12-23 23:59:00,10101
2022-12-24 23:59:00,62
2022-12-25 23:59:00,33
2022-12-26 23:59:00,21
2022-12-27 23:59:00,98
2022-12-28 23:59:00,193
2022-12-29 23:59:00,199
2022-12-30 23:59:00,165
2022-12-31 23:59:00,282
2023-01-01 23:59:00,1
2023-01-02 23:59:00,13
2023-01-03 23:59:00,1109
2023-01-04 23:59:00,1496
2023-01-05 23:59:00,1235
2023-01-06 23:59:00,1842
2023-01-07 23:59:00,1844
2023-01-08 23:59:00,304
2023-01-09 23:59:00,290
2023-01-10 23:59:00,1405
2023-01-11 23:59:00,1168
2023-01-12 23:59:00,1284
2023-01-13 23:59:00,2097
2023-01-14 23:59:00,1941
2023-01-15 23:59:00,349
2023-01-16 23:59:00,16
2023-01-17 23:59:00,1869
2023-01-18 23:59:00,974
2023-01-19 23:59:00,1168
2023-01-20 23:59:00,1598
2023-01-21 23:59:00,1598
2023-01-22 23:59:00,331
2023-01-23 23:59:00,269
2023-01-24 23:59:00,1436
2023-01-25 23:59:00,1204
2023-01-26 23:59:00,1821
2023-01-27 23:59:00,1936
2023-01-28 23:59:00,1879
2023-01-29 23:59:00,298
2023-01-30 23:59:00,348
2023-01-31 23:59:00,1586
2023-02-01 23:59:00,1298
2023-02-02 23:59:00,1689
2023-02-03 23:59:00,1838
2023-02-04 23:59:00,2097
2023-02-05 23:59:00,295
2023-02-06 23:59:00,408
2023-02-07 23:59:00,1410
2023-02-08 23:59:00,1642
2023-02-09 23:59:00,2142
2023-02-10 23:59:00,761
2023-02-11 23:59:00,2738
2023-02-12 23:59:00,274
2023-02-13 23:59:00,575
2023-02-14 23:59:00,1433
2023-02-15 23:59:00,1578
2023-02-16 23:59:00,2114
2023-02-17 23:59:00,2703
2023-02-18 23:59:00,2804
2023-02-19 23:59:00,373
2023-02-20 23:59:00,13
2023-02-21 23:59:00,2693
2023-02-22 23:59:00,2376
2023-02-23 23:59:00,1964
2023-02-24 23:59:00,2383
2023-02-25 23:59:00,2266
2023-02-26 23:59:00,278
