Event,n
U00318,7
U00319,8
U00320,7
U00321,8
U00322,5
U00323,10
U00324,7
U00325,8
U00326,15
U00327,4
U00328,15
U00329,28
U00330,13
U00331,7
U00332,7
U00333,10
U00334,13
U00335,16
U00336,6
U00337,20
U00338,13
U00339,8
U00340,9
U00341,9
U00342,9
U00343,10
U00344,10
U00345,14
U00346,7
U00347,7
U00348,14
U00349,47
U00350,5
U00351,6
U00352,7
U00353,9
U00354,15
U00355,178
U00356,11
U00357,8
U00358,1
U00359,5
U00360,8
U00361,3
U00362,21
U00363,5
U00364,9
U00365,9
U00366,12
U00367,5
U00368,15
U00369,5
U00370,6
U00371,63
U00372,5
U00373,35
U00374,14
U00375,9
U00376,8
U00377,39
U00378,7
U00379,7
U00380,8
U00381,9
U00382,5
U00383,6
U00384,6
U00385,8
U00386,6
U00387,3
U00388,9
U00389,4
U00390,14
U00391,6
U00392,5
U00393,7
U00394,8
U00395,12
U00396,12
U00397,6
U00398,6
U00399,6
U00400,10
U00401,12
U00402,6
U00403,13
U00404,5
U00405,4
U00406,13
U00407,6
U00408,5
U00409,24
U00410,20
U00411,9
U00412,13
U00413,8
U00414,9
U00415,5
U00416,2
U00417,6
U00418,4
U00419,11
U00420,9
U00421,1
U00422,3
U00423,8
U00424,34
U00425,9
U00426,1
U00427,5
U00428,7
U00429,11
U00430,13
U00431,7
U00432,5
U00433,2
U00434,7
U00435,11
U00436,10
U00437,16
U00438,16
U00439,5
U00440,18
U00441,2
U00442,28
U00443,1
U00444,18
U00445,14
U00446,4
U00447,8
U00448,11
U00449,3
U00450,4
U00451,3
U00452,3
U00453,15
U00454,9
U00455,9
U00456,4
U00457,35
U00458,4
U00459,7
U00460,21
U00461,11
U00462,4
U00463,6
U00464,48
U00465,11
U00466,13
U00467,11
U00468,2
U00469,8
U00470,4
U00471,7
U00472,11
U00473,4
U00474,42
U00475,16
U00476,7
U00477,5
U00478,4
U00479,11
U00480,7
U00481,8
U00482,21
U00483,18
U00484,17
U00485,15
U00486,10
U00487,11
U00488,19
U00489,4
U00490,10
U00491,18
U00492,11
U00493,10
U00494,12
U00495,11
U00496,8
U00497,7
U00498,33
U00499,10
U00500,17
U00501,31
U00502,11
U00503,9
U00504,10
U00505,8
U00506,9
U00507,7
U00508,21
U00509,7
U00510,12
U00511,2
U00512,6
U00513,2
U00514,6
U00515,3
U00516,6
U00517,14
U00518,9
U00519,7
U00520,9
U00521,9
U00522,9
U00523,23
U00524,20
U00525,3
U00526,4
U00527,4
U00528,3
U00529,8
U00530,3
U00531,17
U00532,4
U00533,8
U00534,4
U00535,9
U00536,7
U00537,9
U00538,17
U00539,12
U00540,12
U00541,7
U00542,6
U00543,7
U00544,8
U00545,8
U00546,10
U00547,8
U00548,21
U00549,13
U00550,10
U00551,16
U00552,13
U00553,21
U00554,23
U00555,12
U00556,18
U00557,11
U00558,10
U00559,7
U00560,11
U00561,12
U00562,10
U00563,24
U00564,30
U00565,6
U00566,10
U00567,15
U00568,6
U00569,12
U00570,11
U00571,20
U00572,12
U00573,6
U00574,46
U00575,11
U00576,42
U00577,9
U00578,13
U00579,4
U00580,81
U00581,9
U00582,27
U00583,9
U00584,11
U00585,54
U00586,10
U00587,11
U00588,46
U00589,14
U00590,14
U00591,9
U00592,12
U00593,6
U00594,9
U00595,7
U00596,7
U00597,9
U00598,4
U00599,16
U00600,6
U00601,3
U00602,11
U00603,12
U00604,10
U00605,9
U00606,8
U00607,3
U00608,40
U00609,15
U00610,13
U00611,8
U00612,10
U00613,13
U00614,10
U00615,13
U00616,14
U00617,15
U00618,7
U00619,6
U00620,14
U00621,6
U00622,8
U00623,15
U00624,10
U00625,5
U00626,11
U00627,5
U00628,6
U00629,7
U00630,15
U00631,9
U00632,12
U00633,12
U00634,12
U00635,7
U00636,7
U00637,7
U00638,21
U00639,5
U00640,8
U00641,11
U00642,6
U00643,11
U00644,10
U00645,15
U00646,10
U00647,6
U00648,34
U00649,12
U00650,8
U00651,10
U00652,11
U00653,62
U00654,8
U00655,12
U00656,9
U00657,3
U00658,13
U00659,4
U00660,55
U00661,10
U00662,7
U00663,19
U00664,8
U00665,8
U00666,8
U00667,16
U00668,14
U00669,21
U00670,13
U00671,7
U00672,8
U00673,7
U00674,11
U00675,7
U00676,6
U00677,18
U00678,29
U00679,11
U00680,11
U00681,9
U00682,10
U00683,8
U00684,12
U00685,9
U00686,8
U00687,12
U00688,36
U00689,56
U00690,10
U00691,9
U00692,5
U00693,7
U00694,11
U00695,8
U00696,18
U00697,58
U00698,12
U00699,14
U00700,10
U00701,7
U00702,4
U00703,13
U00704,17
U00705,10
U00706,10
U00707,6
U00708,14
U00709,14
U00710,15
U00711,9
U00712,14
U00713,9
U00714,11
U00715,8
U00716,16
U00717,11
U00718,12
U00719,8
U00720,68
U00721,22
U00722,7
U00723,9
U00724,11
U00725,5
U00726,9
U00727,8
U00728,7
U00729,10
U00730,14
U00731,10
U00732,9
U00733,12
U00734,5
U00735,9
U00736,14
U00737,7
U00738,10
U00739,5
U00740,3
U00741,8
U00742,5
U00743,7
U00744,5
U00745,6
U00746,8
U00747,12
U00748,13
U00749,7
U00750,8
U00751,20
U00752,8
U00753,11
U00754,10
U00755,30
U00756,5
U00757,17
U00758,9
U00759,17
U00760,18
U00761,9
U00762,12
U00763,12
U00764,20
U00765,9
U00766,15
U00767,11
U00768,8
U00769,5
U00770,8
U00771,10
U00772,5
U00773,6
U00774,9
U00775,7
U00776,17
U00777,8
U00778,9
U00779,8
U00780,6
U00781,7
U00782,13
U00783,10
U00784,6
U00785,8
U00786,17
U00787,16
U00788,10
U00789,7
U00790,8
U00791,7
U00792,36
U00793,5
U00794,11
U00795,7
U00796,6
U00797,9
U00798,75
U00799,12
U00800,9
U00801,4
U00802,7
U00803,15
U00804,8
U00805,16
U00806,6
U00807,16
U00808,13
U00809,8
U00810,12
U00811,3
U00812,12
U00813,12
U00814,10
U00815,10
U00816,5
U00817,4
U00818,19
U00819,15
U00820,11
U00821,11
U00822,9
U00823,6
U00824,11
U00825,15
U00826,67
U00827,3
U00828,33
U00829,7
U00830,27
U00831,54
U00832,9
U00833,5
U00834,7
U00835,6
U00836,48
U00837,17
U00838,7
U00839,13
U00840,36
U00841,9
U00842,38
U00843,44
U00844,8
U00845,11
U00846,3
U00847,28
U00848,14
U00849,14
U00850,15
U00851,6
U00852,5
U00853,15
U00854,22
U00855,8
U00856,9
U00857,9
U00858,10
U00859,22
U00860,16
U00861,11
U00862,37
U00863,10
U00864,14
U00865,6
U00866,4
U00867,21
U00868,6
U00869,17
U00870,3
U00871,5
U00872,53
U00873,6
U00874,9
U00875,10
U00876,5
U00877,12
U00878,16
U00879,17
U00880,77
U00881,40
U00882,12
U00883,8
U00884,7
U00885,34
U00886,3
U00887,3
U00888,5
U00889,9
U00890,9
U00891,24
U00892,13
U00893,11
U00894,6
U00895,4
U00896,7
U00897,47
U00898,6
U00899,7
U00900,6
U00901,15
U00902,22
U00903,8
U00904,64
U00905,25
U00906,8
U00907,18
U00908,75
U00909,10
U00910,8
U00911,10
U00912,15
U00913,6
U00914,5
U00915,21
U00916,44
U00917,13
U00918,13
U00919,8
U00920,6
U00921,9
U00922,8
U00923,7
U00924,8
U00925,7
U00926,6
U00927,13
U00928,7
U00929,13
U00930,33
U00931,27
U00932,12
U00933,8
U00934,3
U00935,4
U00936,14
U00937,10
U00938,23
U00939,7
U00940,4
U00941,6
U00942,6
U00943,6
U00944,22
U00945,9
U00946,5
U00947,7
U00948,9
U00949,27
U00950,13
U00951,7
U00952,5
U00953,7
U00954,6
U00955,7
U00956,12
U00957,8
U00958,7
U00959,8
U00960,7
U00961,6
U00962,11
U00963,6
U00964,53
U00965,7
U00966,10
U00967,19
U00968,6
U00969,52
U00970,55
U00971,6
U00972,7
U00973,15
U00974,9
U00975,16
U00976,10
U00977,12
U00978,9
U00979,8
U00980,58
U00981,8
U00982,9
U00983,9
U00984,8
U00985,10
U00986,39
U00987,37
U00988,9
U00989,9
U00990,10
U00991,9
U00992,16
U00993,15
U00994,7
U00995,37
U00996,10
U00997,8
U00998,8
U00999,9
U01000,8
U01001,14
U01002,11
U01003,6
U01004,5
U01005,38
U01006,50
U01007,4
U01008,16
U01009,7
U01010,3
U01011,10
U01012,8
U01013,7
U01014,9
U01015,10
U01016,5
U01017,3
U01018,7
U01019,9
U01020,11
U01021,4
U01022,7
U01023,4
U01024,5
U01025,10
U01026,2
U01027,7
U01028,5
U01029,6
U01030,18
U01031,5
U01032,4
U01033,6
U01034,2
U01035,12
U01036,15
U01037,6
U01038,4
U01039,10
U01040,5
U01041,8
U01042,16
U01043,5
U01044,6
U01045,8
U01046,9
U01047,12
U01048,4
U01049,5
U01050,5
U01051,15
U01052,9
U01053,5
U01054,5
U01055,5
U01056,4
U01057,2
U01059,4
U01060,16
U01061,15
U01062,3
U01063,4
U01064,1
U01065,4
U01066,5
U01067,4
U01068,3
U01069,9
U01070,3
U01071,3
U01072,2
U01073,10
U01074,4
U01075,4
U01076,10
U01077,3
U01078,9
U01079,9
U01080,8
U01081,9
U01082,25
U01083,6
U01084,5
U01085,9
U01086,4
U01087,6
U01088,19
U01089,8
U01090,13
U01091,8
U01092,10
U01093,8
U01094,6
U01095,8
U01096,5
U01097,5
U01098,6
U01099,10
U01100,10
U01101,5
U01102,13
U01103,8
U01104,6
U01105,8
U01106,6
U01107,5
U01108,14
U01109,16
U01110,13
U01111,9
U01112,7
U01113,10
U01114,5
U01115,8
U01116,8
U01117,6
U01118,9
U01119,6
U01120,4
U01121,13
U01122,10
U01123,31
U01124,16
U01125,3
U01126,25
U01127,8
U01128,6
U01129,10
U01130,10
U01131,13
U01132,7
U01133,5
U01134,10
U01135,6
U01136,10
U01137,27
U01138,11
U01139,62
U01140,8
U01141,11
U01142,15
U01143,6
U01144,12
U01145,57
U01146,36
U01147,10
U01148,21
U01149,5
U01150,40
U01151,8
U01152,22
U01153,10
U01154,11
U01155,10
U01156,6
U01157,10
U01158,9
U01159,5
U01160,8
U01161,4
U01162,5
U01163,6
U01164,8
U01165,11
U01166,4
U01167,5
U01168,40
U01169,6
U01170,9
U01171,16
U01172,58
U01173,12
U01174,14
U01175,7
U01176,10
U01177,11
U01178,12
U01179,20
U01180,11
U01181,8
U01182,12
U01183,12
U01184,7
U01185,7
U01186,9
U01187,28
U01188,12
U01189,19
U01190,4493
U01191,7
U01192,10
U01193,58
U01194,12
U01195,13
U01196,3
U01197,5
U01198,6
U01199,13
U01200,8
U01201,12
U01202,7
U01203,12
U01204,6
U01205,14
U01206,6
U01207,40
U01208,9
U01209,10
U01210,12
U01211,14
U01212,819
U01213,9
U01214,12
U01215,67
U01216,13
U01217,17
U01218,145
U01219,72
U01220,15
U01221,15
U01222,18
U01223,9
U01224,17
U01225,16
U01226,14
U01227,7
U01228,13
U01229,13
U01230,6
U01231,53
U01232,14
U01233,2
U01234,7
U01235,5
U01236,2
U01237,74
U01238,8
U01239,4
U01240,7
U01241,6
U01242,13
U01243,8
U01244,53
U01245,81
U01246,3
U01247,6
U01248,4
U01249,3
U01250,10
U01251,227
U01252,5
U01253,3
U01254,4
U01255,5
U01256,6
U01257,4
U01258,5
U01259,39
U01260,31
U01261,7
U01262,4
U01263,5
U01264,10
U01265,8
U01266,3
U01267,3
U01268,6
U01269,7
U01270,7
U01271,4
U01272,15
U01273,5
U01274,12
U01275,12
U01276,5
U01277,6
U01278,3
U01279,7
U01280,9
U01281,8
U01282,6
U01283,35
U01284,7
U01285,36
U01286,12
U01287,11
U01288,6
U01289,17
U01290,8
U01291,13
U01292,10
U01293,7
U01294,9
U01295,14
U01296,8
U01297,6
U01298,85
U01299,13
U01300,3
U01301,9
U01302,4
U01303,16
U01304,7
U01305,13
U01306,20
U01307,141
U01308,379
U01309,7
U01310,7
U01311,19
U01312,9
U01313,15
U01314,9
U01315,5
U01316,7
U01317,9
U01318,20
U01319,5
U01320,13
U01321,13
U01322,5
U01323,7
U01324,5
U01325,6
U01326,489
U01327,9
U01328,12
U01329,6
U01330,8
U01331,5
U01332,9
U01333,4
U01334,8
U01335,7
U01336,5
U01337,7
U01338,10
U01339,8
U01340,3
U01341,10
U01342,11
U01343,9
U01344,6
U01345,7
U01346,10
U01347,3
U01348,9
U01349,7
U01350,5
U01351,5
U01352,9
U01353,11
U01354,11
U01355,9
U01356,8
U01357,5
U01358,6
U01359,15
U01360,5
U01361,10
U01362,5
U01363,9
U01364,8
U01365,7
U01366,7
U01367,7
U01368,14
U01369,9
U01370,10
U01371,3
U01372,10
U01373,12
U01374,10
U01375,8
U01376,7
U01377,6
U01378,5
U01379,9
U01380,2
U01381,5
U01382,8
U01383,3
U01384,3
U01385,156
U01386,9
U01387,3
U01388,8
U01389,7
U01390,16
U01391,55
U01392,9
U01393,3
U01394,27
U01395,16
U01396,9
U01397,2
U01398,13
U01399,5
U01400,10
U01401,546
U01402,8
U01403,4
U01404,2
U01405,11
U01406,14
U01407,5
U01408,8
U01409,7
U01410,6
U01411,13
U01412,4
U01413,3
U01414,2
U01415,11
U01416,6
U01417,11
U01418,14
U01419,10
U01420,14
U01421,12
U01422,10
U01423,9
U01424,12
U01425,10
U01426,7
U01427,11
U01428,12
U01429,7
U01430,8
U01431,3
U01432,5
U01433,7
U01434,7
U01435,3
U01436,6
U01437,22
U01438,10
U01439,10
U01440,7
U01441,8
U01442,11
U01443,5
U01444,4
U01445,12
U01446,15
U01447,4
U01448,13
U01449,5
U01450,9
U01451,6
U01452,9
U01453,6
U01454,14
U01455,13
U01456,8
U01457,13
U01458,7
U01459,16
U01460,15
U01461,11
U01462,31
U01463,9
U01464,11
U01465,8
U01466,3
U01467,7
U01468,14
U01469,10
U01470,10
U01471,12
U01472,58
U01473,138
U01474,4
U01475,5
U01476,7
U01477,37
U01478,4
U01479,19
U01480,6
U01481,13
U01482,10
U01483,20
U01484,4
U01485,77
U01486,21
U01487,8
U01488,7
U01489,6
U01490,12
U01491,10
U01492,12
U01493,14
U01494,718
U01495,9
U01496,32
U01497,9
U01498,10
U01499,10
U01500,9
U01501,6
U01502,5
U01503,6
U01504,9
U01505,14
U01506,16
U01507,53
U01508,22
U01509,204
U01510,18
U01511,8
U01512,20
U01513,2
U01514,14
U01515,9
U01516,3
U01517,18
U01518,11
U01519,10
U01520,2
U01521,9
U01522,4
U01523,6
U01524,16
U01525,5
U01526,4
U01527,7
U01528,9
U01529,18
U01530,16
U01531,7
U01532,41
U01533,8
U01534,24
U01535,12
U01536,32
U01537,16
U01538,8
U01539,11
U01540,46
U01541,4
U01542,34
U01543,9
U01544,11
U01545,16
U01546,16
U01547,14
U01548,10
U01549,7
U01550,3
U01551,10
U01552,7
U01553,3
U01554,6
U01555,8
U01556,16
U01557,12
U01558,34
U01559,5
U01560,3
U01561,16
U01562,6
U01563,13
U01564,16
U01565,6
U01566,3
U01567,3
U01568,14
U01569,6
U01570,12
U01571,13
U01572,32
U01573,7
U01574,8
U01575,12
U01576,12
U01577,12
U01578,14
U01579,12
U01580,9
U01581,13
U01582,13
U01583,7
U01584,13
U01585,22
U01586,14
U01587,6
U01588,16
U01589,20
U01590,18
U01591,12
U01592,10
U01593,28
U01594,3
U01595,7
U01596,8
U01597,4
U01598,5
U01599,12
U01600,11
U01601,7
U01602,32
U01603,9
U01604,14
U01605,7
U01606,6
U01607,8
U01608,4
U01609,3
U01610,10
U01611,5
U01612,4
U01613,12
U01614,4
U01615,8
U01616,10
U01617,15
U01618,3
U01619,9
U01620,7
U01621,6
U01622,6
U01623,4
U01624,9
U01625,238
U01626,254
U01627,7
U01628,12
U01629,5
U01630,17
U01631,8
U01632,10
U01633,15
U01634,7
U01635,5
U01636,10
U01637,3
U01638,4
U01639,53
U01640,14
U01641,48
U01642,9
U01643,6
U01644,11
U01645,6
U01646,5
U01647,211
U01648,256
U01649,5
U01650,23
U01651,22
U01652,6
U01653,32
U01654,166
U01655,50
U01656,21
U01657,15
U01658,9
U01659,13
U01660,6
U01661,7
U01662,7
U01663,4
U01664,14
U01665,5
U01666,6
U01667,15
U01668,15
U01669,8
U01670,5
U01671,11
U01672,11
U01673,9
U01674,11
U01675,11
U01676,11
U01677,7
U01678,14
U01679,7
U01680,11
U01681,7
U01682,221
U01683,186
U01684,217
U01685,239
U01686,5
U01687,208
U01688,4
U01689,8
U01690,15
U01691,3
U01692,255
U01693,20
U01694,8
U01695,4
U01696,7
U01697,4
U01698,12
U01699,20
U01700,5
U01701,197
U01702,8
U01703,6
U01704,152
U01705,4
U01706,136
U01707,7
U01708,256
U01709,12
U01710,45
U01711,3
U01712,6
U01713,5
U01714,4
U01715,8
U01716,4
U01717,12
U01718,9
U01719,6
U01720,7
U01721,8
U01722,4
U01723,6
U01724,11
U01725,6
U01726,8
U01727,7
U01728,14
U01729,5
U01730,11
U01731,8
U01732,4
U01733,9
U01734,8
U01735,255
U01736,7
U01737,7
U01738,12
U01739,8
U01740,10
U01741,21
U01742,10
U01743,6
U01744,4
U01745,8
U01746,7
U01747,5
U01748,19
U01749,9
U01750,8
U01751,9
U01752,4
U01753,11
U01754,5
U01755,5
U01756,5
U01757,7
U01758,6
U01759,10
U01760,10
U01761,15
U01762,1
U01763,15
U01764,5
U01765,3
U01766,8
U01767,9
U01768,9
U01769,19
U01770,17
U01771,13
U01772,20
U01773,10
U01774,3
U01775,6
U01776,6
U01777,7
U01778,9
U01779,44
U01780,15
U01781,10
U01782,8
U01783,8
U01784,17
U01785,15
U01786,11
U01787,11
U01788,9
U01789,10
U01790,13
U01791,9
U01792,9
U01793,9
U01794,8
U01795,12
U01796,16
U01797,13
U01798,25
U01799,25
U01800,22
U01801,14
U01802,11
U01803,10
U01804,8
U01805,9
U01806,13
U01807,17
U01808,10
U01809,18
U01810,13
U01811,5
U01812,23
U01813,11
U01814,9
U01815,8
U01816,12
U01817,16
U01818,17
U01819,13
U01820,24
U01821,9
U01822,20
U01823,7
U01824,69
U01825,11
U01826,10
U01827,40
U01828,13
U01829,73
U01830,12
U01831,6
U01832,8
U01833,4
U01834,85
U01835,7
U01836,16
U01837,17
U01838,17
U01839,12
U01840,5
U01841,17
U01842,4
U01843,52
U01844,5
U01845,6
U01846,7
U01847,8
U01848,6
U01849,9
U01850,13
U01851,8
U01852,7
U01853,12
U01854,7
U01855,4
U01856,6
U01857,8
U01858,9
U01859,11
U01860,12
U01861,5
U01862,16
U01863,7
U01864,12
U01865,50
U01866,5
U01867,10
U01868,8
U01869,11
U01870,13
U01871,7
U01872,12
U01873,12
U01874,53
U01875,20
U01876,16
U01877,13
U01878,69
U01879,7
U01880,8
U01881,5
U01882,8
U01883,29
U01884,12
U01885,7
U01886,7
U01887,10
U01888,10
U01889,11
U01890,7
U01891,5
U01892,7
U01893,7
U01894,7
U01895,12
U01896,7
U01897,9
U01898,11
U01899,8
U01900,10
U01901,9
U01902,11
U01903,9
U01904,18
U01905,8
U01906,5
U01907,8
U01908,5
U01909,12
U01910,14
U01911,12
U01912,12
U01913,11
U01914,11
U01915,5
U01916,6
U01917,9
U01918,4
U01919,2
U01920,4
U01921,9
U01922,13
U01923,5
U01924,11
U01925,4
U01926,4
U01927,19
U01928,9
U01929,7
U01930,10
U01931,4
U01932,52
U01933,8
U01934,9
U01935,9
U01936,4
U01937,9
U01938,5
U01939,10
U01940,20
U01941,14
U01942,10
U01943,6
U01944,16
U01945,9
U01946,9
U01947,4
U01948,7
U01949,4
U01950,9
U01951,12
U01952,26
U01953,4
U01954,13
U01955,5
U01956,5
U01957,4
U01958,6
U01959,147
U01960,381
U01961,8
U01962,4
U01963,6
U01964,9
U01965,8
U01966,5
U01967,8
U01968,4
U01969,6
U01970,11
U01971,4
U01972,12
U01973,2
U01974,89
U01975,21
U01976,7
U01977,10
U01978,58
U01979,16
U01980,6
U01981,10
U01982,13
U01983,11
U01984,6
U01985,15
U01986,6
U01987,5
U01988,5
U01989,9
U01990,8
U01991,3
U01992,9
U01993,4
U01994,5
U01995,12
U01996,7
U01997,193
U01998,7
U01999,1
U02000,197
U02001,155
U02002,73
U02003,49
U02004,12
U02005,9
U02006,46
U02007,11
U02008,1
U02009,11
U02010,30
U02011,5
U02012,109
U02013,7
U02014,5
U02015,45
U02016,6
U02017,4
U02018,5
U02019,112
U02020,43
U02021,237
U02022,45
U02023,7
U02024,53
U02025,33
U02026,40
U02027,4
U02028,51
U02029,8
U02030,6
U02031,11
U02032,5
U02033,4
U02034,92
U02035,4
U02036,67
U02037,23
U02038,11
U02039,26
U02040,7
U02041,8
U02042,8
U02043,10
U02044,149
U02045,5
U02046,23
U02047,15
U02048,22
U02049,9
U02050,11
U02051,54
U02052,51
U02053,58
U02054,6
U02055,15
U02056,14
U02057,10
U02058,7
U02059,4
U02060,8
U02061,9
U02062,12
U02063,10
U02064,7
U02065,8
U02066,305
U02067,157
U02068,22
U02069,14
U02070,9
U02071,7
U02072,11
U02073,7
U02074,9
U02075,7
U02076,8
U02077,13
U02078,34
U02079,8
U02080,18
U02081,10
U02082,4
U02083,8
U02084,11
U02085,10
U02086,10
U02087,6
U02088,6
U02089,19
U02090,12
U02091,5
U02092,44
U02093,6
U02094,222
U02095,4
U02096,29
U02097,6
U02098,56
U02099,157
U02100,361
U02101,9
U02102,65
U02103,14
U02104,7
U02105,12
U02106,25
U02107,9
U02108,30
U02109,43
U02110,5
U02111,8
U02112,11
U02113,6
U02114,6
U02115,12
U02116,13
U02117,15
U02118,8
U02119,7
U02120,8
U02121,19
U02122,14
U02123,33
U02124,43
U02125,46
U02126,47
U02127,8
U02128,12
U02129,10
U02130,9
U02131,6
U02132,10
U02133,7
U02134,7
U02135,17
U02136,10
U02137,6
U02138,10
U02139,9
U02140,9
U02141,18
U02142,8
U02143,10
U02144,24
U02145,9
U02146,9
U02147,3
U02148,10
U02149,18
U02150,12
U02151,12
U02152,11
U02153,9
U02154,10
U02155,15
U02156,11
U02157,6
U02158,15
U02159,211
U02160,75
U02161,9
U02162,5
U02163,37
U02164,327
U02165,11
U02166,5
U02167,8
U02168,10
U02169,6
U02170,12
U02171,11
U02172,11
U02173,7
U02174,6
U02175,8
U02176,12
U02177,16
U02178,9
U02179,8
U02180,17
U02181,9
U02182,8
U02183,8
U02184,7
U02185,8
U02186,3
U02187,6
U02188,5
U02189,6
U02190,10
U02191,12
U02192,9
U02193,11
U02194,4
U02195,60
U02196,10
U02197,13
U02198,14
U02199,12
U02200,15
U02201,8
U02202,4
U02203,9
U02204,6
U02205,6
U02206,9
U02207,9
U02208,6
U02209,9
U02210,4
U02211,8
U02212,12
U02213,9
U02214,8
U02215,13
U02216,8
U02217,14
U02218,5
U02219,8
U02220,5
U02221,6
U02222,9
U02223,8
U02224,4
U02225,7
U02226,9
U02227,11
U02228,19
U02229,12
U02230,5
U02231,8
U02232,6
U02233,6
U02234,7
U02235,10
U02236,10
U02237,4
U02238,10
U02239,7
U02240,8
U02241,7
U02242,7
U02243,11
U02244,27
U02245,8
U02246,7
U02247,11
U02248,5
U02249,5
U02250,8
U02251,9
U02252,6
U02253,9
U02254,9
U02255,8
U02256,9
U02257,86
U02258,8
U02259,483
U02260,16
U02261,9
U02262,13
U02263,8
U02264,11
U02265,9
U02266,5
U02267,5
U02268,7
U02269,9
U02270,7
U02271,4
U02272,11
U02273,8
U02274,9
U02275,9
U02276,6
U02277,25
U02278,4
U02279,18
U02280,6
U02281,8
U02282,9
U02283,26
U02284,9
U02285,11
U02286,34
U02287,7
U02288,3
U02289,3
U02290,9
U02291,10
U02292,10
U02293,8
U02294,6
U02295,8
U02296,6
U02297,29
U02298,7
U02299,18
U02300,12
U02301,6
U02302,64
U02303,31
U02304,8
U02305,17
U02306,7
U02307,15
U02308,12
U02309,7
U02310,8
U02311,16
U02312,8
U02313,13
U02314,12
U02315,6
U02316,6
U02317,7
U02318,6
U02319,11
U02320,9
U02321,329
U02322,9
U02323,6
U02324,11
U02325,9
U02326,7
U02327,122
U02328,9
U02329,9
