"Description","Count"
"open house tour",313
"time change per fae jencks",312
"retirement ceremony",312
"per whsb this u# is designated for those guests entering ne and going through the east wing",312
"navy band",310
"names merged to u11471",310
"1pm - group tour",310
"trick or treat event in the eeob",309
"long branch elementary school patrick henry elementary school hoffmanboston elementary school drewmodel elementary school",307
"please see sgt. schmidt group tour",306
"tours.",305
"2pm - open house",303
"swearing-in ceremony",301
"group tourchanged from 1030 to 1130 per ethan",301
"updated room",299
"group tourmerged u72875 to this # and changed time from 1000 to 0800 per tess kjb",299
"group tour-changed from caey to chelsea per casey",297
"energy working group",297
"vawa anniversary reception",296
"group tours*",296
"group tour clr",296
"eop 9",296
"9am tour",296
"group tour date/time change from 4/11 @ 1300 to 4/10 @ 1000 per chelsea",295
"2pm group tours",295
"12.30pm group tours",295
"jewish community reception",294
"holiday open",293
"army band for garden tours",293
"hate crimes event with potus**",291
"1:00pm group tours",291
"10am group tour**",290
"middle class task force",289
"group tour./",289
"eop 3 open house",289
"2pm - group tours",289
"women's history month reception",288
"marching band part 1",288
"eop 5 open house",287
"ew tour ? must enter through sherman park",286
"reception with jewish community members",285
"ope 2 open house",285
"group tourmoved from 0930 to 1230 per ethankjb",284
"group tour changed from ethan to will per ethan",284
"1030am - group to",284
"run across america event",281
"per requestor chg time on the appt. mw",281
"5pm - open house",281
"u.s. conference of mayors",280
"ope 1 open house",280
"holiday open houselegaffairs 1",280
"health reform implementation meeting",280
"group tourmoved from 1030 to 1330 per ethankjb",280
"group tour time changed per requester",280
"group tour date/time change from 4/11 @ 1200 to 4/10 @ 1300 per chelsea",280
"general reception guests",280
"10am - staff tours",280
"international women's day reception",279
"group tour date/time change from 4/11 @ 1030 to 4/10 @ 1130 per chelsea",279
"policy briefing",278
"sos 1 open house",277
"health care bill signing (members of congress)",277
"eop 4 open house",277
"cp12",277
"group tourmoved from 0900 to 1200 per ethankjb",276
"group tour/time changed per ellie",276
"11:30am group tours",276
"u49243 group tour",275
"group tourtime change from 1030 to 1300",275
"group tourmoved from 4/4 @ 0830 to 4/5 @ 0700 per ethakjb",275
"group tour changed from 11/9 @ 1330 hrs to 11/10 @ 1400 hrs",275
"group tour-changed from 1100 to 1300 hrs per ethan",275
"eop 1 time slot",275
"athletes attending olympic athlete event on south lawn",275
"rain site is the east room",274
"group tour-changed from etha n to tess per ethan",274
"group tour-changed from 1030 to 1230 hrs per ethan",274
"time change made at the request of k. lierman",273
"team arrival",273
"group tour/time change per req",273
"guest list for a medal of honor ceremony hosted by the president",272
"group tourchanged time from 1030 to 0700",272
"group tourchanged time from 1000 to 0700 per will",272
