"APPT_END_DATE","Count"
"2011-05-14 23:59:00",4555
"2011-07-30 23:59:00",4550
"2011-04-30 23:59:00",4548
"2011-05-04 23:59:00",4547
"2014-12-11 23:59:00",4529
"2010-10-29 23:59:00",4529
"2011-04-23 23:59:00",4524
"2013-02-16 23:59:00",4520
"2010-05-21 23:59:00",4520
"2012-06-07 23:59:00",4515
"2014-12-22 23:59:00",4512
"2012-12-12 23:59:00",4510
"2012-07-06 23:59:00",4505
"2012-03-30 23:59:00",4505
"2014-12-16 23:59:00",4500
"2011-05-21 23:59:00",4499
"2015-09-11 23:59:00",4497
"2014-06-27 23:59:00",4495
"2016-07-30 23:59:00",4493
"2015-06-15 23:59:00",4493
"2016-07-08 23:59:00",4490
"2016-09-09 23:59:00",4487
"2015-04-10 23:59:00",4480
"2016-05-24 23:59:00",4479
"2012-05-11 23:59:00",4471
"2012-06-28 23:59:00",4469
"2013-12-20 23:59:00",4465
"2011-06-25 23:59:00",4460
"2010-10-22 23:59:00",4460
"2015-06-19 23:59:00",4459
"2010-04-09 23:59:00",4459
"2012-03-16 23:59:00",4453
"2012-08-09 23:59:00",4448
"2012-11-20 23:59:00",4440
"2012-08-11 23:59:00",4440
"2015-12-09 23:59:00",4434
"2011-06-17 23:59:00",4434
"2014-05-16 23:59:00",4429
"2011-04-02 23:59:00",4428
"2012-04-06 23:59:00",4423
"2011-07-15 23:59:00",4420
"2012-07-10 23:59:00",4415
"2016-04-01 23:59:00",4412
"2013-12-11 23:59:00",4411
"2010-05-14 23:59:00",4411
"2012-07-17 23:59:00",4408
"2015-10-22 23:59:00",4407
"2015-07-11 23:59:00",4405
"2009-12-19 23:59:00",4405
"2011-02-18 23:59:00",4402
"2011-07-09 23:59:00",4395
"2015-06-05 23:59:00",4394
"2015-06-24 23:59:00",4388
"2009-12-05 23:59:00",4383
"2012-07-28 23:59:00",4374
"2011-08-06 23:59:00",4374
"2016-05-26 23:59:00",4368
"2010-04-24 23:59:00",4368
"2016-08-26 23:59:00",4365
"2010-07-31 23:59:00",4362
"2012-06-22 23:59:00",4361
"2012-05-18 23:59:00",4361
"2014-12-23 23:59:00",4360
"2012-12-20 23:59:00",4359
"2012-09-13 23:59:00",4356
"2016-06-22 23:59:00",4351
"2012-08-10 23:59:00",4345
"2010-04-10 23:59:00",4339
"2016-08-11 23:59:00",4330
"2016-08-12 23:59:00",4329
"2014-07-24 23:59:00",4326
"2014-04-05 23:59:00",4324
"2015-03-24 23:59:00",4318
"2011-07-23 23:59:00",4314
"2010-10-09 23:59:00",4312
"2012-10-16 23:59:00",4306
"2016-07-20 23:59:00",4305
"2011-12-14 23:59:00",4305
"2010-03-27 23:59:00",4295
"2016-05-27 23:59:00",4291
"2016-03-26 23:59:00",4285
"2014-12-05 23:59:00",4280
"2016-06-29 23:59:00",4270
"2016-04-30 23:59:00",4268
"2011-07-16 23:59:00",4264
"2016-09-15 23:59:00",4262
"2012-12-04 23:59:00",4254
"2011-12-12 23:59:00",4245
"2012-12-05 23:59:00",4242
"2012-04-05 23:59:00",4240
"2010-04-03 23:59:00",4236
"2014-07-09 23:59:00",4231
"2011-04-16 23:59:00",4231
"2012-07-25 23:59:00",4229
"2011-06-16 23:59:00",4227
"2012-02-22 23:59:00",4223
"2010-10-30 23:59:00",4223
"2010-10-23 23:59:00",4223
"2014-11-21 23:59:00",4221
"2016-07-16 23:59:00",4220
"2016-08-03 23:59:00",4216
"2016-04-27 23:59:00",4216
"2012-04-28 23:59:00",4216
"2016-09-24 23:59:00",4215
"2011-10-06 23:59:00",4214
"2011-06-30 23:59:00",4214
"2016-06-08 23:59:00",4213
"2011-03-12 23:59:00",4211
"2016-06-30 23:59:00",4204
"2016-06-07 23:59:00",4204
"2011-03-26 23:59:00",4204
"2016-02-26 23:59:00",4202
"2014-05-09 23:59:00",4201
"2014-08-01 23:59:00",4198
"2015-08-01 23:59:00",4195
"2011-08-12 23:59:00",4194
"2010-03-13 23:59:00",4194
"2016-06-23 23:59:00",4191
"2014-05-30 23:59:00",4189
"2014-05-23 23:59:00",4188
"2016-08-10 23:59:00",4186
"2014-10-10 23:59:00",4184
"2014-03-26 23:59:00",4180
"2010-09-17 23:59:00",4177
"2010-07-30 23:59:00",4175
"2011-04-01 23:59:00",4173
"2011-04-07 23:59:00",4168
"2011-08-05 23:59:00",4167
"2016-07-23 23:59:00",4165
"2015-03-28 23:59:00",4164
"2011-02-19 23:59:00",4163
"2010-08-17 23:59:00",4160
"2012-08-04 23:59:00",4159
"2015-07-25 23:59:00",4158
"2012-11-17 23:59:00",4157
"2014-03-29 23:59:00",4156
"2010-05-28 23:59:00",4156
"2012-08-15 23:59:00",4150
"2016-08-06 23:59:00",4148
"2016-06-25 23:59:00",4142
"2014-07-19 23:59:00",4142
"2011-08-27 23:59:00",4142
"2014-03-27 23:59:00",4137
"2015-07-22 23:59:00",4134
"2016-06-11 23:59:00",4132
"2009-11-07 23:59:00",4132
"2016-04-09 23:59:00",4130
"2014-12-08 23:59:00",4130
"2014-07-23 23:59:00",4129
"2016-04-23 23:59:00",4127
"2014-08-08 23:59:00",4123
"2011-08-26 23:59:00",4117
"2011-07-22 23:59:00",4117
"2012-03-09 23:59:00",4115
"2016-05-14 23:59:00",4114
"2016-07-09 23:59:00",4112
"2012-10-12 23:59:00",4111
"2015-02-27 23:59:00",4104
"2015-03-13 23:59:00",4102
"2016-06-09 23:59:00",4100
"2016-05-21 23:59:00",4098
"2014-11-15 23:59:00",4094
"2014-07-30 23:59:00",4090
"2011-06-23 23:59:00",4090
"2010-12-16 23:59:00",4090
"2014-09-27 23:59:00",4089
"2010-06-11 23:59:00",4089
"2010-07-22 23:59:00",4088
"2010-04-02 23:59:00",4088
"2011-07-02 23:59:00",4085
"2011-03-17 23:59:00",4083
"2016-03-19 23:59:00",4082
"2014-08-15 23:59:00",4082
"2012-08-17 23:59:00",4081
"2010-10-08 23:59:00",4081
"2016-07-01 23:59:00",4078
"2010-04-30 23:59:00",4072
"2012-03-17 23:59:00",4070
"2009-10-09 23:59:00",4070
"2012-05-24 23:59:00",4068
"2012-03-31 23:59:00",4067
"2015-09-19 23:59:00",4063
"2012-10-06 23:59:00",4059
"2014-06-21 23:59:00",4057
"2015-03-21 23:59:00",4056
"2014-07-12 23:59:00",4055
"2010-08-07 23:59:00",4054
