"UIN","Count"
"u94695",408
"u88537",408
"u88205",408
"u81749",408
"u81233",408
"u75656",408
"u68513",408
"u60841",408
"u40459",408
"u38036",408
"u34649",408
"u27799",408
"u24893",408
"u22734",408
"u22497",408
"u10719",408
"u07348",408
"u01861",408
"u99977",407
"u92023",407
"u84488",407
"u64752",407
"u04600",407
"u91356",406
"u90453",406
"u83810",406
"u74055",406
"u62996",406
"u35210",406
"u34009",406
"u33984",406
"u05669",406
"u95456",405
"u92796",405
"u66612",405
"u49021",405
"u46645",405
"u30873",405
"u05934",405
"u58463",404
"u46547",404
"u41106",404
"u38621",404
"u34629",404
"u25609",404
"u96050",403
"u94715",403
"u90448",403
"u73334",403
"u67952",403
"u66806",403
"u66604",403
"u52862",403
"u06667",403
"u03874",403
"u01999",403
"u86730",402
"u63227",402
"u61809",402
"u59978",402
"u41184",402
"u35915",402
"u35123",402
"u33467",402
"u29401",402
"u19283",402
"u06299",402
"u98929",401
"u95227",401
"u85045",401
"u78379",401
"u64477",401
"u55713",401
"u52293",401
"u50421",401
"u43852",401
"u35716",401
"u24865",401
"u17331",401
"u14208",401
"u06782",401
"u02931",401
"u66443",400
"u51065",400
"u48819",400
"u44840",400
"u41000",400
"u38717",400
"u22691",400
"u97045",399
"u89708",399
"u89045",399
"u85582",399
"u85525",399
"u65554",399
"u65101",399
"u64240",399
"u57680",399
"u53264",399
"u51430",399
"u35736",399
"u29468",399
"u13230",399
"u12703",399
"u00426",399
"u98983",398
"u95776",398
"u91164",398
"u90965",398
"u86990",398
"u86341",398
"u74232",398
"u63146",398
"u57296",398
"u54026",398
"u50222",398
"u30559",398
"u22584",398
"u19298",398
"u13830",398
"u13668",398
"u99121",397
"u98765",397
"u91089",397
"u88190",397
"u83099",397
"u56888",397
"u39312",397
"u18668",397
"u18434",397
"u18204",397
"u12859",397
"u12269",397
"u10485",397
"u01471",397
"u00962",397
"u91660",396
"u91372",396
"u71813",396
"u68711",396
"u66936",396
"u64280",396
"u57287",396
"u51687",396
"u51186",396
"u48988",396
"u45891",396
"u36433",396
"u35916",396
"u27208",396
"u26160",396
"u25607",396
"u13447",396
"u00947",396
"u99608",395
"u95097",395
"u91332",395
"u90962",395
"u64486",395
"u60473",395
"u48621",395
"u27880",395
"u15013",395
"u11707",395
"u01763",395
"u97918",394
"u94979",394
"u92953",394
"u83163",394
"u76970",394
"u66912",394
"u65460",394
"u56336",394
"u53464",394
"u46014",394
"u35624",394
"u21836",394
"u09511",394
"u92992",393
"u89327",393
"u86405",393
"u51496",393
"u46906",393
"u45433",393
"u37368",393
"u36050",393
"u31204",393
"u13831",393
"u11423",393
"u07450",393
"u03868",393
"u03702",393
"u01096",393
"u84609",392
"u78601",392
"u64465",392
"u60374",392
"u45620",392
"u40715",392
"u38395",392
"u30388",392
"u21898",392
"u18361",392
"u13846",392
"u12264",392
"u01479",392
"u01473",392
"u00736",392
"u92017",391
"u91357",391
"u91159",391
"u87656",391
"u71505",391
"u62113",391
"u59725",391
"u56618",391
"u53225",391
"u52451",391
"u51890",391
"u45038",391
"u43925",391
"u33681",391
"u28063",391
"u27406",391
"u13229",391
"u11101",391
"u07081",391
"u96790",390
"u94485",390
