"BDGNBR","Count"
"80580",180
"79299",180
"76700",180
"74017",180
"103820",180
"101369",180
"100329",180
"100328",180
"0.0",180
"99971",179
"95289",179
"90185",179
"80892",179
"77552",179
"114302",179
"108182",179
"103796",179
"103199",179
"90610",178
"90011",178
"89795",178
"80643",178
"77711",178
"74808",178
"71404",178
"70308",178
"103933",178
"89807",177
"79855",177
"78826",177
"114532",177
"114286",177
"101302",177
"95268",176
"93490",176
"93482",176
"92067",176
"83719",176
"74813",176
"73574",176
"103217",176
"100584",176
"99141",175
"86811",175
"81122",175
"78672",175
"103913",175
"103414",175
"101400",175
"101360",175
"101229",175
"100690",175
"95177",174
"93978",174
"92506",174
"87230",174
"76139",174
"121210",174
"114395",174
"109341",174
"109335",174
"103910",174
"100489",174
"95646",173
"95339",173
"95294",173
"89452",173
"87079",173
"85973",173
"77108",173
"72349",173
"72041",173
"109434",173
"98639",172
"92251",172
"91644",172
"88418",172
"84936",172
"82799",172
"77667",172
"77597",172
"103225",172
"97098",171
"96371",171
"91155",171
"80328",171
"74508",171
"114448",171
"114439",171
"113230",171
"113215",171
"95590",170
"95541",170
"95178",170
"90906",170
"87191",170
"85220",170
"71932",170
"70348",170
"114564",170
"109452",170
"85345",169
"79983",169
"72133",169
"95498",168
"94841",168
"89681",168
"87607",168
"82783",168
"80021",168
"79812",168
"75532",168
"73137",168
"121609",168
"109458",168
"109379",168
"95654",167
"92647",167
"88622",167
"84704",167
"80665",167
"80126",167
"78332",167
"72958",167
"119550",167
"103797",167
"90503",166
"87344",166
"82075",166
"79924",166
"79919",166
"74518",166
"74105",166
"113166",166
"100585",166
"98626",165
"96025",165
"95330",165
"90902",165
"89991",165
"87444",165
"82256",165
"80589",165
"80160",165
"77819",165
"121913",165
"121349",165
"114444",165
"113208",165
"108001",165
"101235",165
"100173",165
"100167",165
"95647",164
"91758",164
"90859",164
"114293",164
"112318",164
"109288",164
"108164",164
"108111",164
"107336",164
"107330",164
"101237",164
"95228",163
"93024",163
"83944",163
"74794",163
"121429",163
"120706",163
"113209",163
"109400",163
"109308",163
"103428",163
"103235",163
"102970",163
"100063",163
"95247",162
"87267",162
"82121",162
"80650",162
"79776",162
"78057",162
"75969",162
"75643",162
"75062",162
"73207",162
"73202",162
"72137",162
"113133",162
"96319",161
"91643",161
"90579",161
"89867",161
"84887",161
"84319",161
"80554",161
"79862",161
"79131",161
"121683",161
"121412",161
"121111",161
"114537",161
"104151",161
"100582",161
"96150",160
"95237",160
"90592",160
"89833",160
"86984",160
"84012",160
"81644",160
"81037",160
"79864",160
"79842",160
"77591",160
"76535",160
"74825",160
"101240",160
"96945",159
"95591",159
"95208",159
"90591",159
"88010",159
"87343",159
"81115",159
"76575",159
"76080",159
"121118",159
"109280",159
"108221",159
"108158",159
"107972",159
"104068",159
"103813",159
"85030",158
"79854",158
"79816",158
"76127",158
"75750",158
"75378",158
"105550",158
"102734",158
"100918",158
"96314",157
"95296",157
"95292",157
"92029",157
"78799",157
"77822",157
"72170",157
"113224",157
"109460",157
"100459",157
"96496",156
"96148",156
"95505",156
"95184",156
"87724",156
"84414",156
"82142",156
"79852",156
"77663",156
"77120",156
"76599",156
"75276",156
"73132",156
"71826",156
"121348",156
"114459",156
"107595",156
"104049",156
"103197",156
"101248",156
"100650",156
"96564",155
"95265",155
"91108",155
"90183",155
"89599",155
"85072",155
"79917",155
"79837",155
"79018",155
"77642",155
"76434",155
"76251",155
"74746",155
"73893",155
"72470",155
"72248",155
"121478",155
"121122",155
"120803",155
"114586",155
"113184",155
"109324",155
"107625",155
"90157",154
"85319",154
"81717",154
"80146",154
"79174",154
"78788",154
"77732",154
"77599",154
"72649",154
"72502",154
"71494",154
"71284",154
"121418",154
"101239",154
"99798",153
"95258",153
"95003",153
"94514",153
"89404",153
"87020",153
"86919",153
"83974",153
"82585",153
"79144",153
"77382",153
"75457",153
"74812",153
"74345",153
"121914",153
"121290",153
"121133",153
"121114",153
"114504",153
"114478",153
"113162",153
"100957",153
"100574",153
"100562",153
"96828",152
"95508",152
"92849",152
"92447",152
"90606",152
"83777",152
"82943",152
"80274",152
"79869",152
"75902",152
"75355",152
"74128",152
"72497",152
"72351",152
"121612",152
"120451",152
"114042",152
"110728",152
"109586",152
"109334",152
"103207",152
"95267",151
"95159",151
"92970",151
"91572",151
"89294",151
"81840",151
"79590",151
"79043",151
"78256",151
"77774",151
"77757",151
"77569",151
"77334",151
"76636",151
"75792",151
"75515",151
"75275",151
"121915",151
"121611",151
"121128",151
"114284",151
"103805",151
"103400",151
"101241",151
"101234",151
"100603",151
"100155",151
"99776",150
"99403",150
"96410",150
"95521",150
"95346",150
"95206",150
"92729",150
"87540",150
"87077",150
"79692",150
"79173",150
"77796",150
"77739",150
"76151",150
"75653",150
"73208",150
"121595",150
"121131",150
"121129",150
"119404",150
"103895",150
"102964",150
"101232",150
"100909",150
"95046",149
"94371",149
"92658",149
"89324",149
"89201",149
"85250",149
"77650",149
"77550",149
"76646",149
"75339",149
"74437",149
"73359",149
"121908",149
"121766",149
"121628",149
"121567",149
"121124",149
"121116",149
"121115",149
"113149",149
"110711",149
"101370",149
"100056",149
"98991",148
"95051",148
"92818",148
"87174",148
"83413",148
"82693",148
"81636",148
"79957",148
"76118",148
"76009",148
"71608",148
"71586",148
"70206",148
"122017",148
"121424",148
"121126",148
"112316",148
"105536",148
"103932",148
"100488",148
"99948",147
"93484",147
"90904",147
"90775",147
"90685",147
"90150",147
"90029",147
"89823",147
"89200",147
"87157",147
"83818",147
"79752",147
"73856",147
"121758",147
"112286",147
"102906",147
"101242",147
"96306",146
"95102",146
"92856",146
"91645",146
"89907",146
"83434",146
"82699",146
"82323",146
"80648",146
"79976",146
"77588",146
"76391",146
"74804",146
"73832",146
"121804",146
"109325",146
"104392",146
"100293",146
"95513",145
"94755",145
"91270",145
"87439",145
"85709",145
"81838",145
"79707",145
"77754",145
"77535",145
"75452",145
"72820",145
"72683",145
"72206",145
"109388",145
"103896",145
"103886",145
"99499",144
"95644",144
"94939",144
"92645",144
"90890",144
"89601",144
"88839",144
"87022",144
"82112",144
"80882",144
"79868",144
"75309",144
"71492",144
"121896",144
"121255",144
"114494",144
"101383",144
"101263",144
"101246",144
"99797",143
"95213",143
"95135",143
"94680",143
"94370",143
"93651",143
"92015",143
"91778",143
"86902",143
"84453",143
"83778",143
"79112",143
"78284",143
"78143",143
"77733",143
"75740",143
"74865",143
"74101",143
"121132",143
"114495",143
"114447",143
"114194",143
"103240",143
"102725",143
"100615",143
"99414",142
"98538",142
"91721",142
"91271",142
"83015",142
"80581",142
"80271",142
"80001",142
"77668",142
"77589",142
"73522",142
"71626",142
"121755",142
"114043",142
"98947",141
"95100",141
"94933",141
"94834",141
"92727",141
"92016",141
"88873",141
"85107",141
"82703",141
"79803",141
"78360",141
"76697",141
"76261",141
"75451",141
"75295",141
"72630",141
"72628",141
"71910",141
"122236",141
"95515",140
"92211",140
"91182",140
"87698",140
"83566",140
"80649",140
"80372",140
"77676",140
"76503",140
"76394",140
"75701",140
"74739",140
"74075",140
"73770",140
"71266",140
"114196",140
"98600",139
"98376",139
"95699",139
"92582",139
"89998",139
"89827",139
"86718",139
"85400",139
"84934",139
"83410",139
"79788",139
"77765",139
"75854",139
"72415",139
"71619",139
"71604",139
"71443",139
"110700",139
"103201",139
"96922",138
"95016",138
"93810",138
"92079",138
"91238",138
"79306",138
"78738",138
"76180",138
"71988",138
"71625",138
"121981",138
"114234",138
"109397",138
"101268",138
"100912",138
"100172",138
"99733",137
"98526",137
"85127",137
"82390",137
"78822",137
"77387",137
"76545",137
"75331",137
"75086",137
"74352",137
"73831",137
"72818",137
"72499",137
"71507",137
"71417",137
"70515",137
"114482",137
"110710",137
"104734",137
"103437",137
"95970",136
"95636",136
"95363",136
"95070",136
"94775",136
"89999",136
"83951",136
"83084",136
"78938",136
"77730",136
"73401",136
"73205",136
"121907",136
"114479",136
"114471",136
"113179",136
"107981",136
"107302",136
"105556",136
"103190",136
"99747",135
"95246",135
"95217",135
"91563",135
