"APPT_CANCEL_DATE","Count"
"2009-11-25 16:34:00",16
"2009-11-11 15:47:00",16
"2012-03-01 09:18:00",15
"2011-01-17 12:12:00",15
"2010-12-10 18:18:00",15
"2010-10-04 18:02:00",15
"2009-12-14 12:21:00",15
"2009-11-08 17:07:00",15
"2015-12-21 09:59:00",14
"2015-05-05 09:07:00",14
"2013-10-23 10:17:00",14
"2013-08-22 10:51:00",14
"2013-06-04 19:51:00",14
"2011-02-27 15:15:00",14
"2011-02-23 11:03:00",14
"2011-02-03 19:53:00",14
"2011-01-05 16:19:00",14
"2010-07-28 12:01:00",14
"2010-06-28 18:23:00",14
"2009-12-01 05:31:00",14
"2009-11-24 08:54:00",14
"2016-03-14 10:41:00",13
"2015-08-17 10:59:00",13
"2015-06-09 09:49:00",13
"2011-07-14 17:33:00",13
"2011-02-07 17:49:00",13
"2010-09-22 18:58:00",13
"2010-03-08 00:00:00",13
"2013-12-03 17:36:00",12
"2012-09-11 11:40:00",12
"2012-02-13 11:47:00",12
"2011-03-08 18:20:00",12
"2011-02-06 14:59:00",12
"2010-07-28 12:08:00",12
"2009-11-09 17:37:00",12
"2009-11-08 17:05:00",12
"2013-09-19 12:53:00",11
"2013-04-16 09:31:00",11
"2012-12-05 12:52:00",11
"2010-10-15 19:22:00",11
"2010-04-09 08:39:00",11
"2010-04-06 17:29:00",11
"2010-01-25 08:34:00",11
"2015-12-08 12:10:00",10
"2015-12-02 08:11:00",10
"2015-01-12 15:49:00",10
"2014-12-17 13:43:00",10
"2014-10-29 09:41:00",10
"2013-09-13 09:00:00",10
"2013-03-01 11:17:00",10
"2012-10-22 10:29:00",10
"2010-11-11 15:57:00",10
"2010-07-17 15:18:00",10
"2010-07-14 16:42:00",10
"2010-02-16 12:55:00",10
"2010-02-04 18:37:00",10
"2009-12-10 10:43:00",10
"2009-10-15 13:28:00",10
"2016-02-03 17:12:00",9
"2015-07-17 11:38:00",9
"2015-07-01 15:09:00",9
"2014-10-17 14:52:00",9
"2014-08-14 13:14:00",9
"2014-04-02 14:46:00",9
"2013-05-30 16:11:00",9
"2011-10-03 13:20:00",9
"2011-08-24 15:04:00",9
"2010-11-15 18:01:00",9
"2010-07-28 12:06:00",9
"2010-07-28 12:02:00",9
"2010-07-13 14:28:00",9
"2010-06-22 08:58:00",9
"2009-11-27 09:01:00",9
"2009-09-28 09:27:02",9
"2016-08-09 07:38:00",8
"2015-12-04 18:25:00",8
"2015-12-04 18:22:00",8
"2015-11-19 09:43:00",8
"2015-09-04 15:41:00",8
"2015-06-04 12:01:00",8
"2014-11-20 12:10:00",8
"2013-04-11 07:53:00",8
"2012-09-14 09:38:00",8
"2011-11-03 16:09:00",8
"2011-10-13 15:46:00",8
"2011-10-04 11:21:00",8
"2011-08-24 15:05:00",8
"2011-02-23 18:58:00",8
"2011-01-18 09:32:00",8
"2010-10-04 13:18:00",8
"2010-10-04 12:34:00",8
"2010-07-28 12:09:00",8
"2010-07-28 12:07:00",8
"2010-06-22 08:51:00",8
"2010-05-19 17:55:00",8
"2010-04-27 16:45:00",8
"2010-01-11 09:46:00",8
"2009-11-02 16:19:00",8
"2009-09-28 19:38:00",8
"2016-06-13 12:48:00",7
"2016-02-24 16:25:00",7
"2015-12-04 18:26:00",7
"2015-11-19 09:45:00",7
"2015-06-04 12:00:00",7
"2015-02-14 12:30:00",7
"2014-08-26 15:58:00",7
"2014-08-26 13:00:00",7
"2014-05-02 18:32:00",7
"2014-05-01 18:27:00",7
"2014-04-16 13:20:00",7
"2014-04-09 16:10:00",7
"2014-04-08 17:54:00",7
"2014-03-21 16:23:00",7
"2014-03-12 15:22:00",7
"2014-03-12 15:20:00",7
"2014-02-05 17:16:00",7
"2014-02-04 19:11:00",7
"2013-12-20 18:30:00",7
"2013-10-02 11:28:00",7
"2013-09-30 18:42:00",7
"2013-04-25 11:36:00",7
"2012-11-16 17:01:00",7
"2012-10-17 09:09:00",7
"2012-07-06 09:13:00",7
"2012-06-22 13:37:00",7
"2012-05-07 11:20:00",7
"2012-03-13 17:47:00",7
"2011-11-09 15:58:00",7
"2011-11-09 15:53:00",7
"2011-10-27 16:41:00",7
"2011-10-27 14:51:00",7
"2011-05-02 11:13:00",7
"2011-02-09 17:40:00",7
"2011-01-21 16:49:00",7
"2011-01-18 18:25:00",7
"2011-01-12 14:17:00",7
"2010-12-22 10:48:00",7
"2010-12-15 10:43:00",7
"2010-10-20 17:59:00",7
"2010-09-30 17:35:00",7
"2010-09-23 13:02:00",7
"2010-08-13 19:08:00",7
"2010-07-28 12:04:00",7
"2010-06-22 08:57:00",7
"2010-04-28 19:11:00",7
"2010-04-28 19:03:00",7
"2010-03-02 00:00:00",7
"2010-02-08 17:53:00",7
"2009-12-31 14:19:00",7
"2009-12-07 17:18:00",7
"2009-11-25 16:32:00",7
"2009-11-24 13:14:00",7
"2009-11-03 19:57:00",7
"2009-10-26 16:30:00",7
"2009-09-16 19:08:00",7
"2016-08-25 12:14:00",6
"2016-08-09 07:37:00",6
"2016-08-09 07:36:00",6
"2016-07-05 12:35:00",6
"2016-06-30 13:38:00",6
"2016-06-23 19:37:00",6
"2016-05-17 18:10:00",6
"2016-04-27 14:28:00",6
"2016-04-13 09:09:00",6
"2016-01-31 11:38:00",6
"2015-12-09 10:44:00",6
"2015-12-09 08:22:00",6
"2015-09-13 12:40:00",6
"2015-09-11 09:25:00",6
