"MEETING_ROOM","Count"
"sca (tier",67
"indian treaty room",67
"471",67
"ww/1st flo",66
"wardroom",66
"564",66
"37bowling",66
"288",66
"201",66
"10104",66
"037 bowl",66
"sow",65
"neob 3015",65
"590",65
"350a",65
"082",65
"037truman",65
"wh situati",64
"sow 230b",64
"7218",64
"5113",64
"399",64
"ww gf",63
"eeob 204",63
"325",63
"156",63
"ww 120",62
"neob 2020",62
"eeob 94",62
"4025",62
"182",62
"137",62
"10209",62
"wh/eeob",61
"the mess",61
"lower lobb",61
"468",61
"430a/b",61
"37 truman",61
"190",61
"144a",61
"presidenti",60
"itr/eeob 4",60
"269",60
"255",60
"2026",60
"168",60
"ww/gfl",59
"sow suite",59
"ew ola 107",59
"6212",59
"284",59
"202 ew",59
"169",59
"room 350",58
"o20 baseme",58
"eeob 224",58
"7233",58
"37.0",58
"wh theater",57
"eeob217",57
"eeob rm 13",57
"eeob 184",57
"eeob 180a",57
"eeb 217",57
"ceremonial",57
"4430",57
"230a/230b",57
"ew204",56
"eeob 430 abc",56
"eeob 166",56
"466",56
"wwoval",55
"second flo",55
"rm 18",55
"neob court",55
"ipc 374",55
"407",55
"127",55
"ww/cabinet",54
"state pl",54
"sdr",54
"neob 10103",54
"ew/ww",54
"037 (bowli",54
"neob lobby",53
"eeob 116",53
"ebr",53
"430.0",53
"430 b & c",53
"290",53
"ww/roosevelt room",52
"ww lower l",52
"so court a",52
"room 428",52
"302",52
"104a",52
"ww appoint",51
"truman lan",51
"eeob 118",51
"72 a",51
"rooseveltr",50
"roosevelt room",50
"room 430 a",50
"oeob 037/b",50
"brady pres",50
"5108",50
"148",50
"ww//2nd floor",49
"ww 1fl",49
"sb236",49
"o15",49
"grounds",49
"ew 100/ova",49
"eeob 367",49
"eeob 222",49
"eeob 112",49
"57",49
"535",49
"358",49
"ww nsc low",48
"state pl.",48
"sb 236",48
"eeob s ct",48
"eeob 51",48
"eeob 188",48
"74 (gift s",48
"5235-a",48
"470",48
"458",48
"ww office",47
"gym",47
"executive",47
"eeob tour",47
"eeob 470",47
"eeob 107",47
"cos",47
"430/b/c",47
"wwgfl",46
"eeob 73",46
"bowlingall",46
"346",46
"115b",46
"wh state",45
"ew east re",45
"eeob rm 03",45
"eeob 187",45
"eeob 122",45
"374 sms l",45
"210/212 di",45
"104",45
"wwward ro",44
"whac",44
"ward",44
"ovaloffice",44
"g007",44
"eeob/wh",44
"eeob 351",44
"auditorium",44
"554",44
"360a",44
"29",44
"yellow ova",43
"red room",43
"press lob",43
"movie thea",43
"ew rm 210",43
"eeob430",43
"eeob 368",43
"eeob 360a",43
"86",43
"5236a",43
"429",43
"272",43
"108",43
"ww/nsa sui",42
"wh kitchen",42
"sout court",42
"oval pantr",42
"oval office",42
"neob rear",42
"mess hall",42
"eeob 316",42
"3101",42
"232",42
"037/eeob b",42
"ww/state d",41
"whsr exe",41
"wh 100",41
"vice presi",41
"south ct a",41
"itr room 4",41
"eeob 286",41
"eeob 230ab",41
"462",41
"2nd fl ww",41
"230 ab",41
"134",41
"119",41
"107 east w",41
