Event,n
U00807,4
U00808,1
U00810,4
U00811,1
U00812,2
U00813,2
U00814,7
U00815,3
U00817,3
U00818,8
U00819,3
U00820,1
U00821,3
U00822,2
U00823,4
U00824,3
U00825,2
U00826,11
U00828,29
U00829,1
U00830,2
U00831,6
U00832,1
U00834,2
U00835,3
U00836,1
U00837,14
U00838,2
U00839,2
U00840,21
U00841,2
U00842,4
U00844,1
U00845,3
U00846,1
U00847,18
U00848,1
U00849,12
U00850,4
U00853,3
U00854,16
U00855,1
U00856,3
U00857,1
U00858,7
U00859,6
U00860,1
U00861,3
U00862,20
U00864,8
U00865,1
U00866,1
U00867,14
U00868,1
U00869,3
U00871,1
U00872,5
U00874,1
U00875,1
U00876,2
U00877,2
U00878,4
U00879,6
U00880,28
U00881,36
U00882,2
U00883,2
U00884,2
U00885,18
U00889,2
U00890,4
U00891,6
U00892,6
U00893,6
U00894,3
U00895,2
U00896,2
U00897,2
U00898,2
U00899,2
U00900,2
U00901,6
U00902,1
U00903,1
U00904,9
U00905,15
U00907,10
U00908,66
U00909,6
U00910,1
U00912,10
U00913,2
U00914,1
U00915,4
U00916,42
U00918,2
U00919,2
U00920,1
U00921,1
U00922,1
U00923,1
U00924,1
U00925,1
U00927,1
U00928,1
U00929,1
U00931,21
U00932,2
U00934,1
U00936,4
U00937,3
U00938,18
U00939,4
U00940,1
U00943,1
U00944,13
U00946,1
U00947,1
U00948,2
U00949,1
U00950,4
U00951,1
U00952,3
U00953,3
U00954,2
U00955,4
U00956,4
U00957,2
U00958,2
U00959,2
U00961,2
U00962,2
U00963,2
U00964,5
U00965,2
U00966,2
U00967,15
U00968,4
U00969,50
U00970,50
U00971,1
U00973,3
U00974,4
U00975,9
U00976,4
U00977,5
U00978,2
U00979,5
U00980,50
U00982,2
U00983,2
U00984,2
U00985,5
U00986,33
U00987,31
U00988,3
U00989,2
U00990,2
U00991,2
U00992,11
U00993,1
U00994,2
U00995,29
U00996,1
U00997,2
U00998,3
U00999,4
U01000,1
U01001,5
U01002,4
U01005,4
U01006,31
U01008,2
U01009,1
U01012,2
U01013,1
U01014,1
U01015,1
U01017,1
U01018,3
U01019,2
U01020,2
U01022,2
U01024,2
U01025,2
U01030,1
U01033,1
U01034,1
U01036,1
U01037,4
U01039,4
U01040,2
U01042,4
U01044,2
U01046,1
U01047,1
U01052,2
U01060,7
U01061,12
U01063,1
U01065,1
U01066,1
U01068,1
U01069,1
U01072,1
U01073,3
U01076,3
U01077,1
U01078,3
U01079,1
U01080,2
U01081,3
U01082,17
U01083,3
U01084,1
U01085,2
U01086,2
U01087,4
U01088,18
U01089,4
U01090,4
U01091,4
U01092,4
U01093,2
U01094,2
U01095,3
U01097,2
U01098,2
U01100,4
U01101,1
U01102,5
U01103,4
U01104,1
U01105,2
U01106,2
U01107,2
U01108,2
U01109,9
U01110,4
U01111,4
U01112,1
U01113,2
U01114,2
U01115,2
U01116,2
U01118,4
U01121,6
U01122,4
U01123,22
U01124,2
U01126,13
U01127,2
U01128,2
U01129,5
U01130,2
U01131,5
U01134,6
U01135,2
U01136,2
U01137,19
U01138,2
U01139,50
U01140,2
U01141,6
U01142,4
U01144,5
U01145,49
U01146,28
U01147,2
U01148,14
U01150,1
U01152,11
U01153,4
U01154,2
U01155,5
U01156,1
U01158,2
U01161,1
U01164,1
U01165,2
U01166,1
U01168,35
U01169,1
U01170,2
U01171,1
U01172,37
U01173,5
U01175,1
U01177,2
U01178,3
U01179,11
U01180,8
U01181,2
U01182,5
U01185,1
U01186,3
U01188,2
U01189,1
U01190,4483
U01193,50
U01194,3
U01195,4
U01196,1
U01197,1
U01198,1
U01199,6
U01201,2
U01202,3
U01203,6
U01204,2
U01205,6
U01206,1
U01208,2
U01209,2
U01210,1
U01211,3
U01212,1
U01213,1
U01214,4
U01215,17
U01216,1
U01217,6
U01219,1
U01221,1
U01222,2
U01223,1
U01224,2
U01225,3
U01226,1
U01227,1
U01228,4
U01229,4
U01230,1
U01231,1
U01232,6
U01234,1
U01236,1
U01237,2
U01238,2
U01240,3
U01241,3
U01242,7
U01244,3
U01245,1
U01246,1
U01247,1
U01248,1
U01250,1
U01251,10
U01252,1
U01253,1
